# filmdec_pos_rosetta records=54799
eid,slot,bitCursor,x,y,z,sighex
1073742336,512,76,42.7630,8.6600,0.5115,9f1437a04880512acc4f200204881120
1073742340,516,277,-3.6581,16.7185,-1.2180,005a7011307280081220544032055051
1073742341,517,423,-3.5199,16.1211,-1.2180,ce6b020488191800b20557d0ce6b000d
1073742342,518,519,-3.3402,15.2597,-1.2180,ff073c09283a24a38555fffffffff223
1073742336,512,76,42.7216,8.6600,0.5199,9f1437a04880512acc4f200204881120
1073742336,512,140,42.7216,8.6600,0.5199,9b8e39606880512acc49e00206881120
1073742340,516,341,-3.6443,16.7185,-1.2180,005b0312707180081a20544032055051
1073742341,517,487,-3.5061,16.1350,-1.2180,ce6b020688191800b2055950ca6b000e
1073742342,518,583,-3.2988,15.2458,-1.2180,23c74c0d283a24a38665fffffffff225
1073742336,512,140,42.6663,8.6461,0.5115,9b8e39606880512acc49e00206881120
1073742336,512,76,42.6663,8.6461,0.5115,9cc137608880512acc425ffa08881130
1073742340,516,289,-3.6166,16.7185,-1.2180,9ac005b9613b06f7fe8228440a880640
1073742341,517,442,-3.5061,16.1350,-1.2180,aa0a39cd6041110323001640ab5a18cd
1073742342,518,538,-3.2573,15.2319,-1.2180,6001c478ea822507449470eebfffffff
1073742336,512,76,42.6248,8.6461,0.5031,9cc137608880512acc425ffa08881130
1073742336,512,76,42.6248,8.6461,0.5031,994f37a0a880512acc3a5ff20a880d18
1073742339,515,271,43.7995,9.6048,0.5031,9575e2c41510225001559700a9ca4ecd
1073742340,516,410,-3.5890,16.7185,-1.2180,6002dcb0a78363ff4149400300022054
1073742341,517,591,-3.5061,16.1350,-1.2180,0a88191800b2055c50c26b000e23c774
1073742342,518,687,-3.2159,15.2180,-1.2180,50c26b000e23c77415283a24a38885ff
1073742336,512,76,42.5834,8.6461,0.5031,994f37a0a880512acc3a5ff20a880d18
1073742336,512,70,42.5834,8.6461,0.5031,100a2559863bfd419101a30016417fd9
1073742339,515,234,43.7857,9.6048,0.5031,4ecefa12aebc5083220448002ab2054f
1073742340,516,367,-3.5614,16.7185,-1.2180,52766b00162dc5841a1ff20c8815100c
1073742341,517,513,-3.4923,16.1350,-1.2180,0646002c8157942e9ac00388f1db064a
1073742342,518,609,-3.1744,15.2041,-1.2180,9ac00388f1db064a0e8928e2667fffff
1073742336,512,70,42.5419,8.6322,0.5031,100a2559863bfd419101a30016417fd9
1073742336,512,70,42.5419,8.6322,0.5031,100a25598523fc41d101a30016417fc9
1073742339,515,234,43.7719,9.6048,0.5031,4ecefa12aebc5e83a20448002ab20550
1073742340,516,367,-3.5337,16.7185,-1.2180,527a6b00165285c4189fea0e8815100c
1073742341,517,513,-3.4923,16.1350,-1.2180,0646002c8157f42d9ac00388f1d7074a
1073742342,518,609,-3.1191,15.1763,-1.2180,9ac00388f1d7074a0e8928e2aa7fffff
1073742336,512,70,42.5004,8.6322,0.5031,100a25598523fc41d101a30016417fc9
1073742336,512,76,42.5004,8.6322,0.5031,8dd339610880512acc201fda10880d18
1073742339,515,271,43.7581,9.6048,0.5031,9575e35c211022400155902a8e93d358
1073742340,516,404,-3.5061,16.7324,-1.2180,00b0483020b4ff108440a880640aa2a3
1073742341,517,550,-3.4784,16.1350,-1.2180,9cd604211032201902b0e8593581084a
1073742342,518,640,-3.0777,15.1624,-1.2180,02b0e8593581084a0e8928e2ee7fffff
1073742336,512,76,42.4590,8.6183,0.5031,8dd339610880512acc201fda10880d18
1073742336,512,76,42.4590,8.6183,0.5031,8ca737a12880512acc169fca12880d18
1073742339,515,271,43.7442,9.6048,0.5031,9575e3bc251022400155902a9693d358
1073742340,516,404,-3.4646,16.7324,-1.2180,00a83e3220a4fe909440a880640aa3a3
1073742341,517,550,-3.4784,16.1350,-1.2180,9cd604251032201902b1a8573581094a
1073742342,518,640,-3.0224,15.1485,-1.2180,02b1a8573581094a0e8928e3327fffff
1073742336,512,76,42.4037,8.6183,0.5031,8ca737a12880512acc169fca12880d18
1073742336,512,76,42.4037,8.6183,0.5031,849437614880512acc0cdfc214880d18
1073742339,515,271,43.7304,9.6048,0.5031,9575e41c291022400155902aa293d358
1073742340,516,404,-3.4370,16.7324,-1.2180,00a718342092fe10a440a880640aa3a3
1073742341,517,550,-3.4646,16.1350,-1.2180,9cd604291032201902b2a85535810a4a
1073742342,518,640,-2.9809,15.1346,-1.2180,02b2a85535810a4a0e8928e3777fffff
1073742336,512,76,42.3761,8.6045,0.5031,849437614880512acc0cdfc214880d18
1073742336,512,82,42.3761,8.6045,0.5031,11cd1ce1c1c40042d100a25598053f64
1073742339,515,302,43.7166,9.6048,0.5031,94ecefa12aebc8e85a20448002ab2055
1073742340,516,435,-3.3955,16.7324,-1.2180,5d27a6b0014e306bc101fb2168815100
1073742341,517,581,-3.4646,16.1350,-1.2180,20646002c8159b4299ac003e4d1d70b4
1073742342,518,677,-2.9256,15.1207,-1.2180,99ac003e4d1d70b4a0e8928e3bb7ffff
1073742336,512,82,42.3208,8.5906,0.4863,11cd1ce1c1c40042d100a25598053f64
1073742336,512,76,42.3208,8.5906,0.4863,733938618880512acff81fa218880d18
1073742339,515,271,43.6890,9.6048,0.5031,9575e4c4311022400155902aba93b358
1073742340,516,404,-3.3541,16.7324,-1.2180,00a4cc37a06cfd10c440a880640aa4a3
1073742341,517,550,-3.4646,16.1350,-1.2180,9cd6043110323001640ad1a144d60020
1073742342,518,646,-2.8842,15.1068,-1.2180,960eb862507449471ffbffffffffe467
1073742336,512,76,42.2793,8.5767,0.4779,733938618880512acff81fa218880d18
