col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
24,1,12.250,0.750,3,3,2.272,0.000,5,5,10,2600.000,4500.000,1.381,-1.658,3,-2.744,-0.312,3,2.724,3.867,1,2,0,2
24,2,12.250,1.250,0,0,0.000,0.000,0,5,5,3500.000,2800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
24,3,12.250,1.750,3,2,4.167,0.150,5,5,10,2800.000,3300.000,1.418,-0.123,3,-1.256,0.858,2,3.364,2.500,1,1,1,1
24,4,12.250,2.250,3,0,5.193,0.778,3,5,7,5100.000,5400.000,0.218,1.460,3,0.000,0.000,0,3.000,0.000,0,0,0,0
24,5,12.250,2.750,1,0,11.738,2.689,1,5,5,5700.000,3100.000,-0.962,-0.273,1,0.000,0.000,0,1.500,0.000,1,0,1,0
24,6,12.250,3.250,2,0,8.293,-0.469,2,5,7,2800.000,2900.000,-0.662,1.805,2,0.000,0.000,0,2.500,0.000,1,0,1,0
24,7,12.250,3.750,2,1,5.835,1.137,3,5,8,2100.000,2600.000,-0.857,1.806,2,-0.984,-0.180,1,2.000,1.152,0,1,0,1
24,8,12.250,4.250,0,4,0.000,0.000,4,5,9,1800.000,2000.000,0.000,0.000,0,-0.885,3.677,4,0.000,4.500,0,1,0,1
24,9,12.250,4.750,2,1,4.996,0.080,3,5,8,2100.000,1600.000,-1.151,1.579,2,-0.747,-0.665,1,2.000,1.000,0,0,0,0
24,10,12.250,5.250,1,1,0.240,-0.212,2,5,7,3100.000,1500.000,-0.967,0.256,1,-0.416,0.909,1,1.000,1.000,0,0,0,0
24,11,12.250,5.750,1,1,1.082,-0.336,2,5,7,2500.000,1400.000,0.362,0.932,1,-0.843,-0.538,1,1.000,1.000,0,0,0,0
24,12,12.250,6.250,1,2,12.118,1.070,3,5,6,3100.000,1100.000,-0.801,-0.599,1,-1.700,0.024,2,1.000,2.000,0,0,0,0
24,13,12.250,6.750,0,1,0.000,0.000,1,5,6,2300.000,2800.000,0.000,0.000,0,-0.700,-0.714,1,0.000,1.308,0,1,0,1
24,14,12.250,7.250,2,3,5.946,0.372,4,5,9,4300.000,2400.000,-1.579,1.096,2,-0.887,0.470,3,2.000,3.000,0,0,0,0
24,15,12.250,7.750,3,3,13.018,-1.407,6,5,11,4100.000,3600.000,-0.894,-1.268,3,-1.512,-2.428,3,3.000,3.500,0,1,0,1
24,16,12.250,8.250,2,1,10.026,-0.703,3,5,8,3300.000,5800.000,-1.197,1.146,2,0.088,-0.996,1,2.000,1.000,0,0,0,0
24,17,12.250,8.750,2,3,13.263,-1.407,5,5,10,5000.000,3800.000,-1.529,-0.940,2,-1.526,0.064,3,2.000,3.000,0,0,0,0
24,18,12.250,9.250,2,0,3.473,0.933,2,3,4,4100.000,6900.000,-0.720,-0.851,2,0.000,0.000,0,2.000,0.000,0,0,0,0
24,19,12.250,9.750,1,0,12.922,1.893,1,4,5,3500.000,3200.000,-0.999,0.038,1,0.000,0.000,0,0.500,0.000,1,0,0,0
24,20,12.250,10.250,1,0,0.339,-0.009,1,5,6,4800.000,5400.000,-0.129,0.992,1,0.000,0.000,0,1.000,0.000,0,0,0,0
24,21,12.250,10.750,0,2,0.000,0.000,2,5,7,7600.000,3400.000,0.000,0.000,0,-1.110,-1.154,2,0.000,2.000,0,0,0,0
24,22,12.250,11.250,0,0,0.000,0.000,0,5,5,3000.000,3100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
24,23,12.250,11.750,1,0,3.389,0.000,1,5,6,2500.000,3200.000,-0.087,-0.996,1,0.000,0.000,0,1.000,0.000,0,0,0,0
