col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
47,23,23.750,11.750,1,2,8.280,0.000,3,5,7,1100.000,2100.000,-0.865,-0.503,1,-1.067,-1.679,2,1.000,2.000,0,0,0,0
47,24,23.750,12.250,1,1,7.998,-0.031,2,5,6,1000.000,2100.000,-0.143,-0.990,1,-0.620,0.785,1,1.000,1.000,0,0,0,0
47,25,23.750,12.750,3,3,1.919,-0.076,5,5,9,1200.000,2000.000,-1.996,-2.223,3,-0.256,-1.485,3,3.000,3.500,0,1,0,1
47,26,23.750,13.250,1,1,3.741,-0.320,2,6,8,800.000,1500.000,-0.524,-0.852,1,-0.004,-1.000,1,1.000,1.500,0,1,0,1
47,27,23.750,13.750,0,0,0.000,0.000,0,5,5,200.000,2000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
47,28,23.750,14.250,3,0,2.720,0.107,3,2,5,400.000,1200.000,-0.887,0.536,3,0.000,0.000,0,3.494,0.000,1,0,1,0
47,29,23.750,14.750,0,0,0.000,0.000,0,2,2,400.000,800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
47,30,23.750,15.250,2,1,4.442,-0.633,2,2,4,300.000,0.000,0.160,-1.964,2,-0.991,0.133,1,2.000,1.000,0,0,0,0
47,31,23.750,15.750,1,1,6.273,-0.565,2,1,3,200.000,0.000,-0.480,-0.877,1,-0.857,0.515,1,1.376,1.000,1,0,1,0
47,32,23.750,16.250,1,0,1.666,0.214,1,1,2,0.000,500.000,-0.965,-0.261,1,0.000,0.000,0,0.671,0.000,1,0,0,0
48,-23,24.250,-11.250,1,2,0.726,-0.198,3,3,6,600.000,300.000,-0.183,0.983,1,0.027,0.402,2,1.000,2.500,0,1,0,1
48,-22,24.250,-10.750,7,6,3.004,0.000,11,6,17,10600.000,12300.000,-1.385,2.165,7,2.546,3.138,6,6.714,5.779,2,2,1,1
48,-21,24.250,-10.250,1,4,4.321,0.000,5,6,11,13800.000,10400.000,-0.965,-0.263,1,-3.005,-1.179,4,0.500,4.441,1,1,0,1
48,-20,24.250,-9.750,0,1,0.000,0.000,1,4,5,4900.000,300.000,0.000,0.000,0,-0.966,-0.259,1,0.000,0.993,0,1,0,0
48,-17,24.250,-8.250,1,0,20.761,-2.151,1,5,6,500.000,1000.000,-0.860,0.511,1,0.000,0.000,0,1.500,0.000,1,0,1,0
48,-16,24.250,-7.750,2,2,18.238,-0.298,4,6,10,3900.000,5000.000,-1.645,1.136,2,-1.600,-0.985,2,2.950,2.438,2,1,2,1
48,-15,24.250,-7.250,1,1,0.185,-0.015,2,6,8,4000.000,3500.000,0.973,-0.233,1,-0.857,0.515,1,1.000,1.500,0,1,0,1
48,-14,24.250,-6.750,3,2,8.626,-0.259,5,6,11,3000.000,4800.000,-1.164,1.971,3,0.282,-0.496,2,3.279,2.264,1,1,1,1
48,-13,24.250,-6.250,1,2,14.689,0.031,3,6,9,3600.000,3700.000,-1.000,-0.030,1,-0.052,0.799,2,1.500,2.500,1,1,1,1
48,-12,24.250,-5.750,0,1,0.000,0.000,1,6,7,800.000,1800.000,0.000,0.000,0,-0.999,0.032,1,0.000,1.000,0,0,0,0
48,-8,24.250,-3.750,1,0,8.289,1.114,1,2,3,400.000,1300.000,-0.125,0.992,1,0.000,0.000,0,1.000,0.000,0,0,0,0
48,-7,24.250,-3.250,2,2,3.712,1.091,4,6,10,5700.000,6000.000,1.112,1.077,2,0.418,1.736,2,2.226,2.235,1,1,1,1
48,-6,24.250,-2.750,3,6,0.279,0.000,5,6,11,12500.000,3600.000,0.273,-0.967,3,-1.493,-0.589,6,3.000,7.000,0,2,0,2
48,-5,24.250,-2.250,0,1,0.000,0.000,1,5,6,1600.000,500.000,0.000,0.000,0,-0.051,0.999,1,0.000,0.615,0,1,0,0
48,-4,24.250,-1.750,1,1,2.836,0.198,2,4,6,2100.000,900.000,-0.787,0.617,1,-1.000,0.031,1,1.000,1.420,0,1,0,1
48,-3,24.250,-1.250,0,2,0.000,0.000,2,4,6,300.000,800.000,0.000,0.000,0,-1.978,0.293,2,0.000,2.835,0,2,0,2
48,-2,24.250,-0.750,0,1,0.000,0.000,1,3,4,0.000,700.000,0.000,0.000,0,-0.994,-0.110,1,0.000,1.000,0,0,0,0
