film	no_scope	counter_snipe	snipe	instants_no_scope_ms	instants_counter_ms
3b2d3162	3	0	0	197686,301624,392464	-
3b7363fe	2	0	0	363341,415877	-
3b986902	7	0	0	160015,230716,237656,340560,368922,387174,406813	-
3ba5a548	3	0	1	78286,156415,410622	-
3d57bf58	4	0	1	306388,360092,363680,441381	-
3d79e078	1	0	5	444602	-
3d9b075a	0	1	2	-	69872
3e06a064	2	0	1	257286,299478	-
3e394746	2	0	3	40227,257280	-
3e9967f6	7	0	2	41328,79432,173711,348472,352524,376316,378386	-
3ed93673	1	0	1	335440	-
3f3a48f0	1	0	4	431611	-
3f9b3629	4	0	0	229527,325398,458148,463269	-
3fd617b4	2	0	0	41979,371462	-
3fd9c76b	2	0	1	134782,322887	-
3fdf9acb	3	0	3	521415,527071,527988	-
400bb628	3	1	2	130043,350438,435503	243060
4013dc34	3	0	3	58396,185804,368197	-
41469ad0	1	0	0	358319	-
415f2c6c	5	0	0	322224,411330,558211,559913,574044	-
41722c72	1	0	7	202977	-
41b61fb9	1	1	0	401381	233611
41e13386	1	0	2	449093	-
4286cad0	10	0	0	64587,103943,193733,206912,212636,261084,273496,381389,429719,432974	-
42904c91	1	0	4	595095	-
42aaa559	3	0	0	284870,291326,302871	-
43716616	1	0	1	332029	-
43880965	2	0	3	698571,890130	-
443426df	4	0	8	306260,361659,558634,636146	-
446dc63b	2	0	7	401382,433166	-
44c4885e	2	0	3	112481,160779	-
4510b5e0	5	0	1	184035,191941,211811,299716,424908	-
45f9d8c8	2	0	12	118380,674792	-
46256fe9	1	0	1	325044	-
46a9fa1c	1	0	3	87756	-
47854796	1	0	0	239776	-
4787a577	3	0	0	99585,403007,437593	-
47a81088	3	0	0	137973,325461,367738	-
488ffc8e	2	1	1	370781,514009	249390
48943003	3	0	1	83912,217927,451508	-
4898d586	1	0	1	447712	-
48aa35df	3	0	2	93214,500093,512321	-
48d47bfb	5	1	3	263588,304713,305998,337664,445155	347439
48dfd27f	2	0	13	109265,195591	-
49306d1e	1	1	1	321166	423272
4937a9e9	3	0	2	246032,285673,501974	-
49e6248f	5	0	1	65220,90528,108163,391721,420734	-
49f86b91	1	0	1	507501	-
4a4a872d	1	0	0	269823	-
4a93f0e2	2	0	5	541098,544501	-
4aa1342e	3	0	0	173928,412451,417440	-
4b853ff2	3	1	1	112264,317784,362895	344993
4ba92d2c	1	0	1	80768	-
4bc0664a	1	0	1	351644	-
4bdd11d2	2	1	8	270293,491149	53625
4c3ba69d	3	0	2	54891,458866,488929	-
4c76ede0	1	0	0	117241	-
4cb4a8d0	1	0	0	383096	-
4d2dbeab	2	0	0	306061,331651	-
4d4a3961	1	0	0	156199	-
4d600811	2	0	0	94266,358382	-
4d78ae14	4	0	7	101145,271124,275091,605716	-
4db2574e	1	1	8	146947	334069
4e49d934	1	0	0	419911	-
4e7cb975	1	0	1	141564	-
4ea58db8	1	1	1	94033	47267
4ef7415a	2	1	2	234200,599032	597164
4eff0e54	4	0	3	60244,82464,337603,516317	-
4f1639b2	4	0	0	158595,270550,324855,397161	-
4f48606b	2	1	3	95649,324863	304960
4f4f3144	2	0	0	122572,359477	-
4f64cccb	2	0	1	295289,507354	-
4f77afc1	1	0	19	1108649	-
4fbae6c3	4	0	1	137717,192741,445302,469411	-
4fd6e87a	3	0	1	146457,387368,425006	-
50247b26	3	0	0	131587,414740,464244	-
503bf3bb	2	0	5	113498,375411	-
50474fb2	5	0	1	126032,142348,189379,379603,403478	-
508bd2fb	6	0	7	103709,139579,145383,148054,276193,304723	-
50cd2d8c	3	0	7	272348,410470,415125	-
50de9126	1	0	6	862525	-
50f16538	2	0	1	449757,625403	-
51101d1d	0	1	0	-	85346
51556275	2	0	1	257744,276901	-
5156838d	1	0	2	223186	-
5195f5fc	3	1	3	69391,178818,263685	452492
51d3ab9f	1	0	2	355181	-
51ebbc0f	3	0	2	279475,464561,491555	-
52bc0c5c	0	1	4	-	446571
52fc79ef	5	0	2	80555,84793,142951,159735,163556	-
52febf8a	1	1	4	278434	89678
53044454	2	0	1	162178,554251	-
530820e5	5	1	3	67702,380790,412572,466075,472982	33751
53a3768e	3	0	1	263401,320342,448888	-
53ce4390	1	0	7	328695	-
53e078c6	1	0	1	232521	-
540c623d	1	0	4	514557	-
542e129d	2	0	0	234241,296087	-
547e1072	1	0	0	446037	-
549d808e	7	0	2	62485,157611,187891,194514,300688,321058,333670	-
54b94ee3	1	0	0	464004	-
55df2a12	1	0	0	472856	-
55e6b269	2	0	3	117752,124912	-
56ebfc53	2	0	9	144717,634753	-
573af347	1	0	0	291056	-
57799eb7	2	0	1	310760,333234	-
57a5df63	1	0	1	440654	-
57ee590c	1	0	0	149160	-
57f4be06	1	0	0	356886	-
58646783	1	0	5	444636	-
58801bc5	3	0	1	234606,336491,412752	-
58bc9540	2	0	0	99882,556343	-
58d09c44	4	0	9	108649,608763,694324,786116	-
5909b276	5	0	3	228643,240738,247395,253618,369739	-
59b8abb9	1	1	3	535980	604749
5a1c0c9c	4	0	0	146096,156990,311061,315799	-
5a3dde42	4	0	3	98350,144178,256398,261640	-
5a47f636	2	0	7	331580,444909	-
5aa360c3	1	0	0	293646	-
5afc79f0	5	0	4	87435,118016,234832,401872,454192	-
5b2a96e6	1	0	0	465221	-
5b47657d	1	0	0	452098	-
5caa00ac	1	1	2	37373	213469
5ceef09f	4	0	0	222776,406312,417640,423495	-
5d1df471	1	0	1	280177	-
5d5714e0	22	14	18	73767,100845,106534,150894,162092,199343,274218,293638,322584,380475,450212,461390,518030,546875,547226,557769,627723,643990,654100,658822,670099,699863	228356,232727,237833,243688,257468,260872,330075,436381,472150,497342,501864,589002,659588,669448
5dfdc63b	5	0	0	77682,142664,182371,207230,236375	-
5e121187	2	0	9	149741,173131	-
5ed17fe3	1	0	1	239750	-
5f2f5ae8	2	0	0	320113,525919	-
5f90df2e	5	2	7	244429,254905,297012,357441,876598	124636,265983
5fbecd0f	1	1	10	231132	512779
5fc8714b	3	0	1	85791,180452,421816	-
5fe3f9a2	5	0	0	103064,366613,386533,389436,444442	-
5fead0af	1	0	3	180101	-
60ae07c4	1	0	0	52575	-
60ec0dfb	5	1	3	133203,179015,429233,432170,520125	124459
60f9a7b9	3	0	0	71844,418510,446304	-
610363ee	15	1	8	53437,62681,101375,219461,240319,270018,303211,316362,327626,366310,429164,440720,456791,511224,524161	128432
6347cbf9	1	0	3	524539	-
636782a0	1	0	1	461086	-
63a45b8b	3	0	1	306071,332480,344375	-
63a494e4	1	0	0	336545	-
63d6f727	4	2	1	82246,229578,281447,435352	216898,232699
63ffe086	0	1	5	-	78133
643ad899	6	0	0	46749,151038,315903,329584,333438,336541	-
648e00dc	4	0	3	189319,211929,441345,465513	-
64a632d0	11	0	0	78668,97221,102876,106196,116222,120660,194555,275438,312693,329609,494881	-
64e32547	3	0	9	539662,810501,842199	-
64e8adfa	2	1	5	399983,721146	58589
64f405f9	5	0	0	139745,187365,199227,305442,312684	-
652907bb	0	1	12	-	435023
652af18b	2	0	1	409892,457939	-
653fe7c4	2	0	2	477673,589786	-
658c9e26	2	0	0	268267,460460	-
65bab728	2	0	1	528476,541723	-
65fb51f3	4	0	5	111585,245371,319782,438684	-
66395ea8	1	0	5	119011	-
666188ab	6	0	5	186307,202975,209598,298387,434542,449824	-
66aa2908	1	0	0	107027	-
66aa5f0b	0	1	2	-	217991
66b5450e	7	0	2	77161,96696,102935,161730,282036,395350,402741	-
68911f6f	1	0	1	289330	-
68fef0b0	2	0	7	282674,408418	-
694e1a5d	2	0	1	310710,443008	-
696792f6	7	0	1	100788,103156,105811,143380,189927,197518,460920	-
6987167d	1	0	2	111734	-
69b16f5d	2	0	0	95990,306936	-
69f7fd6a	21	14	25	90819,92101,153715,158519,204300,233846,246742,297744,307003,343237,344188,362990,371566,433611,435680,438083,490952,595341,615947,628324,654216	103764,110053,174319,267496,356200,429156,499411,536648,580409,662058,681044,692154,699712,722785
6b142592	1	0	1	72996	-
6b5de1d7	3	1	6	147622,269244,599562	601363
6b6e2ffd	1	0	2	230973	-
6b7c596c	4	0	16	121456,124195,134803,458403	-
6bcab9ad	1	0	0	446504	-
6bfa4e90	1	0	3	463763	-
6c098a38	3	0	2	45669,124966,141899	-
6ceaf3b8	1	0	10	500902	-
