comp_de,comp_vers,x1,y1,z1,x2,y2,z2,poitrine_libre,obst_poitrine_x,obst_poitrine_y,obst_poitrine_z,saut_libre,obst_saut_x,obst_saut_y,obst_saut_z
0,2,8.25,11.75,1.01,9.25,12.25,1.20,false,8.62,11.88,2.33,false,8.62,11.88,3.08
0,2,8.25,11.75,1.01,9.25,12.75,1.20,false,8.62,11.88,2.33,false,8.62,11.88,3.08
0,2,8.25,12.25,1.01,9.25,12.25,1.20,false,8.62,12.38,2.33,false,8.38,12.38,3.08
0,2,8.25,12.25,1.01,9.25,12.75,1.20,false,8.62,12.38,2.33,false,8.38,12.38,3.08
0,2,8.25,12.25,1.01,9.25,13.25,1.20,false,8.62,12.38,2.33,false,8.38,12.38,3.08
0,2,8.25,12.75,1.10,9.25,12.25,1.20,false,8.62,12.62,2.33,false,8.38,12.88,3.08
0,2,8.25,12.75,1.10,9.25,12.75,1.20,false,8.62,12.88,2.33,false,8.38,12.88,3.08
0,2,8.25,12.75,1.10,9.25,13.25,1.20,false,8.62,12.88,2.33,false,8.38,12.88,3.08
0,2,8.25,13.25,1.04,9.25,12.25,1.20,false,8.62,13.12,2.33,false,8.38,13.38,3.08
0,2,8.25,13.25,1.04,9.25,12.75,1.20,false,8.62,13.12,2.33,false,8.38,13.38,3.08
0,2,8.25,13.25,1.04,9.25,13.25,1.20,false,8.62,13.38,2.33,false,8.38,13.38,3.08
0,2,8.25,14.25,2.88,9.25,13.25,1.20,false,8.62,14.12,4.08,false,8.62,14.12,4.83
0,2,9.25,15.25,1.26,10.25,14.25,1.20,false,9.38,15.12,2.58,false,9.38,15.12,3.08
0,2,9.75,15.25,1.20,10.25,14.25,1.20,false,9.88,15.12,2.33,false,9.88,15.12,3.08
0,2,9.75,15.25,1.20,10.75,14.25,1.20,false,9.88,15.12,2.33,false,9.88,15.12,3.08
0,2,9.75,15.25,1.20,10.75,14.75,1.20,false,9.88,15.12,2.33,false,9.88,15.12,3.08
0,2,9.75,15.25,1.20,10.75,15.25,1.20,false,10.38,15.38,2.33,false,10.38,15.38,3.08
0,2,9.75,15.25,1.20,10.75,15.75,1.20,false,10.38,15.38,2.33,false,10.38,15.38,3.08
0,2,9.75,15.25,1.20,10.75,16.25,1.20,false,10.38,15.62,2.33,false,10.12,15.62,3.08
0,2,9.75,15.75,1.20,10.75,14.75,1.20,false,10.38,15.38,2.33,false,9.88,15.88,3.08
0,2,9.75,15.75,1.20,10.75,15.25,1.20,false,10.38,15.62,2.33,false,9.88,15.88,3.08
0,2,9.75,15.75,1.20,10.75,15.75,1.20,false,10.38,15.88,2.33,false,9.88,15.88,3.08
0,2,9.75,15.75,1.20,10.75,16.25,1.20,false,10.38,15.88,2.33,false,9.88,15.88,3.08
0,2,9.75,16.25,1.20,10.75,15.25,1.20,false,10.38,15.88,2.33,false,9.88,16.38,3.08
0,2,9.75,16.25,1.20,10.75,15.75,1.20,false,10.38,16.12,2.33,false,9.88,16.38,3.08
0,2,9.75,16.25,1.20,10.75,16.25,1.20,false,10.38,16.38,2.33,false,9.88,16.38,3.08
