pitch_raw	compte	part
752	8	0.000104
753	11	0.000143
754	6	0.000078
755	10	0.000130
756	21	0.000272
757	6	0.000078
758	4	0.000052
759	8	0.000104
760	5	0.000065
761	11	0.000143
762	7	0.000091
763	7	0.000091
764	9	0.000117
765	8	0.000104
766	8	0.000104
767	5	0.000065
768	13	0.000169
769	6	0.000078
770	8	0.000104
771	9	0.000117
772	5	0.000065
773	12	0.000156
774	8	0.000104
775	11	0.000143
776	7	0.000091
777	14	0.000182
778	19	0.000246
779	8	0.000104
780	14	0.000182
781	10	0.000130
782	11	0.000143
783	11	0.000143
784	14	0.000182
785	5	0.000065
786	16	0.000208
787	14	0.000182
788	16	0.000208
789	19	0.000246
790	16	0.000208
791	11	0.000143
792	13	0.000169
793	19	0.000246
794	24	0.000311
795	29	0.000376
796	16	0.000208
797	17	0.000221
798	28	0.000363
799	23	0.000298
800	16	0.000208
801	17	0.000221
802	17	0.000221
803	18	0.000234
804	14	0.000182
805	19	0.000246
806	9	0.000117
807	18	0.000234
808	15	0.000195
809	19	0.000246
810	14	0.000182
811	21	0.000272
812	21	0.000272
813	21	0.000272
814	29	0.000376
815	25	0.000324
816	39	0.000506
817	26	0.000337
818	37	0.000480
819	39	0.000506
820	25	0.000324
821	17	0.000221
822	19	0.000246
823	34	0.000441
824	18	0.000234
825	26	0.000337
826	30	0.000389
827	20	0.000259
828	26	0.000337
829	43	0.000558
830	32	0.000415
831	36	0.000467
832	21	0.000272
833	25	0.000324
834	27	0.000350
835	24	0.000311
836	34	0.000441
837	33	0.000428
838	27	0.000350
839	27	0.000350
840	28	0.000363
841	36	0.000467
842	28	0.000363
843	28	0.000363
844	38	0.000493
845	61	0.000791
846	50	0.000649
847	26	0.000337
848	21	0.000272
849	29	0.000376
850	30	0.000389
851	36	0.000467
852	41	0.000532
853	37	0.000480
854	45	0.000584
855	50	0.000649
856	49	0.000636
857	41	0.000532
858	43	0.000558
859	42	0.000545
860	42	0.000545
861	43	0.000558
862	57	0.000739
863	47	0.000610
864	48	0.000623
865	47	0.000610
866	32	0.000415
867	48	0.000623
868	34	0.000441
869	45	0.000584
870	44	0.000571
871	51	0.000662
872	42	0.000545
873	46	0.000597
874	58	0.000752
875	58	0.000752
876	64	0.000830
877	60	0.000778
878	70	0.000908
879	67	0.000869
880	67	0.000869
881	66	0.000856
882	54	0.000701
883	75	0.000973
884	94	0.001219
885	71	0.000921
886	59	0.000765
887	61	0.000791
888	77	0.000999
889	65	0.000843
890	61	0.000791
891	92	0.001194
892	63	0.000817
893	65	0.000843
894	75	0.000973
895	89	0.001155
896	87	0.001129
897	75	0.000973
898	68	0.000882
899	63	0.000817
900	76	0.000986
901	83	0.001077
902	99	0.001284
903	90	0.001168
904	108	0.001401
905	85	0.001103
906	80	0.001038
907	118	0.001531
908	107	0.001388
909	102	0.001323
910	90	0.001168
911	111	0.001440
912	107	0.001388
913	114	0.001479
914	128	0.001661
915	110	0.001427
916	107	0.001388
917	129	0.001674
918	131	0.001699
919	140	0.001816
920	145	0.001881
921	149	0.001933
922	147	0.001907
923	136	0.001764
924	137	0.001777
925	144	0.001868
926	191	0.002478
927	176	0.002283
928	208	0.002698
929	167	0.002166
930	164	0.002128
931	185	0.002400
932	226	0.002932
933	209	0.002711
934	193	0.002504
935	212	0.002750
936	214	0.002776
937	209	0.002711
938	225	0.002919
939	230	0.002984
940	227	0.002945
941	239	0.003101
942	278	0.003607
943	259	0.003360
944	308	0.003996
945	221	0.002867
946	313	0.004061
947	273	0.003542
948	297	0.003853
949	278	0.003607
950	256	0.003321
951	291	0.003775
952	287	0.003723
953	231	0.002997
954	265	0.003438
955	269	0.003490
956	343	0.004450
957	382	0.004956
958	307	0.003983
959	280	0.003632
960	369	0.004787
961	352	0.004567
962	352	0.004567
963	313	0.004061
964	355	0.004605
965	393	0.005098
966	384	0.004982
967	378	0.004904
968	397	0.005150
969	421	0.005462
970	365	0.004735
971	404	0.005241
972	439	0.005695
973	352	0.004567
974	368	0.004774
975	418	0.005423
976	392	0.005085
977	460	0.005968
978	505	0.006551
979	448	0.005812
980	504	0.006538
981	479	0.006214
982	577	0.007485
983	550	0.007135
984	510	0.006616
985	485	0.006292
986	506	0.006564
987	525	0.006811
988	445	0.005773
989	492	0.006383
990	674	0.008744
991	567	0.007356
992	605	0.007849
993	555	0.007200
994	597	0.007745
995	670	0.008692
996	577	0.007485
997	727	0.009431
998	678	0.008796
999	599	0.007771
1000	698	0.009055
1001	663	0.008601
1002	613	0.007952
1003	534	0.006928
1004	550	0.007135
1005	567	0.007356
1006	722	0.009367
1007	606	0.007862
1008	576	0.007472
1009	499	0.006474
1010	571	0.007408
1011	631	0.008186
1012	631	0.008186
1013	638	0.008277
1014	646	0.008381
1015	700	0.009081
1016	787	0.010210
1017	653	0.008471
1018	700	0.009081
1019	660	0.008562
1020	746	0.009678
1021	706	0.009159
1022	817	0.010599
1023	883	0.011455
1024	1299	0.016852
1025	861	0.011170
1026	799	0.010365
1027	729	0.009457
1028	694	0.009003
1029	507	0.006577
1030	605	0.007849
1031	651	0.008445
1032	492	0.006383
1033	450	0.005838
1034	525	0.006811
1035	551	0.007148
1036	556	0.007213
1037	399	0.005176
