pitch_raw	compte	part
1062	217	0.001919
1063	225	0.001990
1064	214	0.001893
1065	274	0.002423
1066	248	0.002193
1067	249	0.002202
1068	223	0.001972
1069	217	0.001919
1070	194	0.001716
1071	195	0.001725
1072	203	0.001795
1073	190	0.001680
1074	211	0.001866
1075	201	0.001778
1076	183	0.001619
1077	206	0.001822
1078	209	0.001849
1079	245	0.002167
1080	152	0.001344
1081	149	0.001318
1082	151	0.001336
1083	152	0.001344
1084	156	0.001380
1085	136	0.001203
1086	101	0.000893
1087	145	0.001282
1088	151	0.001336
1089	129	0.001141
1090	148	0.001309
1091	130	0.001150
1092	127	0.001123
1093	121	0.001070
1094	134	0.001185
1095	87	0.000769
1096	100	0.000884
1097	94	0.000831
1098	82	0.000725
1099	69	0.000610
1100	66	0.000584
1101	94	0.000831
1102	73	0.000646
1103	61	0.000540
1104	71	0.000628
1105	42	0.000371
1106	73	0.000646
1107	66	0.000584
1108	42	0.000371
1109	33	0.000292
1110	35	0.000310
1111	25	0.000221
1112	29	0.000256
1113	30	0.000265
1114	36	0.000318
1115	40	0.000354
1116	34	0.000301
1117	36	0.000318
1118	16	0.000142
1119	29	0.000256
1120	23	0.000203
1121	33	0.000292
1122	22	0.000195
1123	30	0.000265
1124	32	0.000283
1125	22	0.000195
1126	37	0.000327
1127	28	0.000248
1128	24	0.000212
1129	25	0.000221
1130	35	0.000310
1131	19	0.000168
1132	31	0.000274
1133	27	0.000239
1134	26	0.000230
1135	19	0.000168
1136	23	0.000203
1137	45	0.000398
1138	17	0.000150
1139	29	0.000256
1140	21	0.000186
1141	20	0.000177
1142	16	0.000142
1143	17	0.000150
1144	15	0.000133
1145	16	0.000142
1146	14	0.000124
1147	12	0.000106
1148	20	0.000177
1149	20	0.000177
1150	16	0.000142
1151	20	0.000177
1152	17	0.000150
1153	20	0.000177
1154	12	0.000106
1155	14	0.000124
1156	23	0.000203
1157	12	0.000106
1158	16	0.000142
1159	24	0.000212
1160	22	0.000195
1161	17	0.000150
1162	16	0.000142
1163	16	0.000142
1164	12	0.000106
1165	13	0.000115
1166	18	0.000159
1167	17	0.000150
1168	22	0.000195
1169	16	0.000142
1170	14	0.000124
1171	15	0.000133
1172	15	0.000133
1173	12	0.000106
1174	15	0.000133
1175	16	0.000142
1176	18	0.000159
1177	8	0.000071
1178	11	0.000097
1179	4	0.000035
1180	10	0.000088
1181	10	0.000088
1182	5	0.000044
1183	26	0.000230
1184	12	0.000106
1185	16	0.000142
1186	13	0.000115
1187	13	0.000115
1188	16	0.000142
1189	10	0.000088
1190	16	0.000142
1191	6	0.000053
1192	15	0.000133
1193	12	0.000106
1194	9	0.000080
1195	8	0.000071
1196	7	0.000062
1197	3	0.000027
1198	13	0.000115
1199	10	0.000088
1200	9	0.000080
1201	4	0.000035
1202	13	0.000115
1203	4	0.000035
1204	10	0.000088
1205	6	0.000053
1206	3	0.000027
1207	4	0.000035
1208	13	0.000115
1209	10	0.000088
1210	13	0.000115
1211	8	0.000071
1212	8	0.000071
1213	5	0.000044
1214	12	0.000106
1215	8	0.000071
1216	4	0.000035
1217	7	0.000062
1218	1	0.000009
1219	8	0.000071
1221	4	0.000035
1222	5	0.000044
1223	4	0.000035
1224	1	0.000009
1225	4	0.000035
1226	3	0.000027
1227	4	0.000035
1228	6	0.000053
1229	9	0.000080
1230	5	0.000044
1231	1	0.000009
1232	2	0.000018
1233	6	0.000053
1234	7	0.000062
1235	19	0.000168
1236	12	0.000106
1237	7	0.000062
1238	2	0.000018
1239	6	0.000053
1240	8	0.000071
1241	3	0.000027
1242	4	0.000035
1243	6	0.000053
1244	13	0.000115
1245	4	0.000035
1246	7	0.000062
1247	4	0.000035
1248	6	0.000053
1249	3	0.000027
1250	8	0.000071
1251	10	0.000088
1252	1	0.000009
1253	4	0.000035
1254	2	0.000018
1255	7	0.000062
1256	7	0.000062
1257	2	0.000018
1258	4	0.000035
1259	5	0.000044
1260	6	0.000053
1261	5	0.000044
1262	2	0.000018
1263	1	0.000009
1264	3	0.000027
1265	4	0.000035
1266	6	0.000053
1267	2	0.000018
1268	1	0.000009
1269	1	0.000009
1270	1	0.000009
1271	3	0.000027
1272	2	0.000018
1273	3	0.000027
1274	6	0.000053
