# lot C-ter volet 1 — CT.1.1 — film 0a247154 — resume par (slot, mode, tag), calcule sur les lectures CHAINEES ; non_chainees = lectures ecartees ; bande = 1 stricte
slot	bande	mode	tag	emissions	avec_valeur	non_chainees	distinctes	changements	joueurs	t_ms_premiere	t_ms_derniere	frame_premiere	frame_derniere	valeurs_top4
1565	1	B	13	0	0	5	0	0	0	0	0	-1	-1	
1565	1	B	14	0	0	3	0	0	0	0	0	-1	-1	
1565	1	B	15	0	0	6	0	0	0	0	0	-1	-1	
1566	1	A	0	0	0	1	0	0	0	0	0	-1	-1	
1566	1	A	1	0	0	1	0	0	0	0	0	-1	-1	
1566	1	A	5	1	1	0	1	0	1	785524	785524	7763	7763	0x3327C7DA x1
1566	1	A	8	0	0	1	0	0	0	0	0	-1	-1	
1566	1	B	0	0	0	162	0	0	0	0	0	-1	-1	
1566	1	B	1	0	0	12	0	0	0	0	0	-1	-1	
1566	1	B	2	0	0	2	0	0	0	0	0	-1	-1	
1566	1	B	3	0	0	4	0	0	0	0	0	-1	-1	
1566	1	B	4	0	0	7	0	0	0	0	0	-1	-1	
1566	1	B	5	0	0	6	0	0	0	0	0	-1	-1	
1566	1	B	6	0	0	1	0	0	0	0	0	-1	-1	
1566	1	B	7	0	0	2	0	0	0	0	0	-1	-1	
1566	1	B	8	0	0	7	0	0	0	0	0	-1	-1	
1566	1	B	9	0	0	3	0	0	0	0	0	-1	-1	
1566	1	B	10	0	0	4	0	0	0	0	0	-1	-1	
1566	1	B	12	0	0	3	0	0	0	0	0	-1	-1	
1566	1	B	13	0	0	7	0	0	0	0	0	-1	-1	
1566	1	B	14	0	0	2	0	0	0	0	0	-1	-1	
1566	1	B	15	0	0	2	0	0	0	0	0	-1	-1	
1567	1	A	5	1	1	1	1	0	1	785524	785524	7763	7763	0xF2F9EB27 x1
1567	1	A	9	0	0	1	0	0	0	0	0	-1	-1	
1567	1	A	13	0	0	1	0	0	0	0	0	-1	-1	
1567	1	B	0	0	0	4	0	0	0	0	0	-1	-1	
1567	1	B	1	0	0	10	0	0	0	0	0	-1	-1	
1567	1	B	2	0	0	3	0	0	0	0	0	-1	-1	
1567	1	B	3	0	0	1	0	0	0	0	0	-1	-1	
1567	1	B	4	1	0	5	0	0	1	732449	732449	7232	7232	
1567	1	B	5	0	0	7	0	0	0	0	0	-1	-1	
1567	1	B	6	0	0	2	0	0	0	0	0	-1	-1	
1567	1	B	8	1	1	3	1	0	1	732449	732449	7232	7232	0x002AB207 x1
1567	1	B	9	0	0	4	0	0	0	0	0	-1	-1	
1567	1	B	10	0	0	2	0	0	0	0	0	-1	-1	
1567	1	B	11	0	0	3	0	0	0	0	0	-1	-1	
1567	1	B	12	0	0	4	0	0	0	0	0	-1	-1	
1567	1	B	13	0	0	4	0	0	0	0	0	-1	-1	
1567	1	B	14	0	0	3	0	0	0	0	0	-1	-1	
1567	1	B	15	0	0	2	0	0	0	0	0	-1	-1	
1573	0	A	8	0	0	1	0	0	0	0	0	-1	-1	
1573	0	A	9	0	0	2	0	0	0	0	0	-1	-1	
1573	0	A	15	0	0	1	0	0	0	0	0	-1	-1	
1573	0	B	0	0	0	1	0	0	0	0	0	-1	-1	
1573	0	B	1	0	0	5	0	0	0	0	0	-1	-1	
1573	0	B	2	0	0	19	0	0	0	0	0	-1	-1	
1573	0	B	3	0	0	2	0	0	0	0	0	-1	-1	
1573	0	B	5	0	0	1	0	0	0	0	0	-1	-1	
1573	0	B	6	0	0	5	0	0	0	0	0	-1	-1	
1573	0	B	7	0	0	2	0	0	0	0	0	-1	-1	
1573	0	B	8	0	0	4	0	0	0	0	0	-1	-1	
1573	0	B	9	0	0	3	0	0	0	0	0	-1	-1	
1573	0	B	10	1	1	3	1	0	1	186012	186012	1768	1768	0x00000000 x1
1573	0	B	11	0	0	3	0	0	0	0	0	-1	-1	
1573	0	B	13	1	1	1	1	0	1	186012	186012	1768	1768	0x00000000 x1
1573	0	B	14	0	0	1	0	0	0	0	0	-1	-1	
1574	0	A	9	0	0	2	0	0	0	0	0	-1	-1	
