# lot C-ter volet 1 — CT.1.1 — film 606d9844 — resume par (slot, mode, tag), calcule sur les lectures CHAINEES ; non_chainees = lectures ecartees ; bande = 1 stricte
slot	bande	mode	tag	emissions	avec_valeur	non_chainees	distinctes	changements	joueurs	t_ms_premiere	t_ms_derniere	frame_premiere	frame_derniere	valeurs_top4
1427	1	B	3	0	0	1	0	0	0	0	0	-1	-1	
1427	1	B	4	0	0	2	0	0	0	0	0	-1	-1	
1427	1	B	6	0	0	1	0	0	0	0	0	-1	-1	
1427	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1427	1	B	8	0	0	7	0	0	0	0	0	-1	-1	
1427	1	B	9	0	0	1	0	0	0	0	0	-1	-1	
1427	1	B	10	0	0	1	0	0	0	0	0	-1	-1	
1427	1	B	12	0	0	2	0	0	0	0	0	-1	-1	
1437	0	A	6	0	0	1	0	0	0	0	0	-1	-1	
1437	0	A	8	0	0	1	0	0	0	0	0	-1	-1	
1437	0	B	0	0	0	2	0	0	0	0	0	-1	-1	
1437	0	B	4	0	0	2	0	0	0	0	0	-1	-1	
1437	0	B	6	0	0	1	0	0	0	0	0	-1	-1	
1437	0	B	7	0	0	2	0	0	0	0	0	-1	-1	
1437	0	B	8	0	0	6	0	0	0	0	0	-1	-1	
1437	0	B	9	0	0	2	0	0	0	0	0	-1	-1	
1437	0	B	10	0	0	2	0	0	0	0	0	-1	-1	
1437	0	B	13	0	0	2	0	0	0	0	0	-1	-1	
1437	0	B	14	0	0	1	0	0	0	0	0	-1	-1	
1437	0	B	15	0	0	1	0	0	0	0	0	-1	-1	
1438	0	A	8	0	0	1	0	0	0	0	0	-1	-1	
1438	0	A	10	0	0	1	0	0	0	0	0	-1	-1	
1438	0	B	0	0	0	5	0	0	0	0	0	-1	-1	
1438	0	B	1	0	0	2	0	0	0	0	0	-1	-1	
1438	0	B	2	3	0	11	0	0	2	57204	211312	503	2044	
1438	0	B	3	0	0	4	0	0	0	0	0	-1	-1	
1438	0	B	4	0	0	3	0	0	0	0	0	-1	-1	
1438	0	B	5	0	0	1	0	0	0	0	0	-1	-1	
1438	0	B	6	0	0	1	0	0	0	0	0	-1	-1	
1438	0	B	7	0	0	1	0	0	0	0	0	-1	-1	
1438	0	B	8	0	0	3	0	0	0	0	0	-1	-1	
1438	0	B	9	0	0	1	0	0	0	0	0	-1	-1	
1438	0	B	10	0	0	3	0	0	0	0	0	-1	-1	
1438	0	B	11	0	0	2	0	0	0	0	0	-1	-1	
1438	0	B	13	0	0	1	0	0	0	0	0	-1	-1	
1438	0	B	14	0	0	4	0	0	0	0	0	-1	-1	
1438	0	B	15	0	0	2	0	0	0	0	0	-1	-1	
1439	0	A	1	0	0	1	0	0	0	0	0	-1	-1	
1439	0	A	8	0	0	1	0	0	0	0	0	-1	-1	
1439	0	A	10	0	0	1	0	0	0	0	0	-1	-1	
1439	0	B	0	0	0	3	0	0	0	0	0	-1	-1	
1439	0	B	1	0	0	1	0	0	0	0	0	-1	-1	
1439	0	B	4	0	0	1	0	0	0	0	0	-1	-1	
1439	0	B	5	0	0	1	0	0	0	0	0	-1	-1	
1439	0	B	6	0	0	2	0	0	0	0	0	-1	-1	
1439	0	B	10	0	0	1	0	0	0	0	0	-1	-1	
1439	0	B	12	0	0	1	0	0	0	0	0	-1	-1	
1441	0	A	6	0	0	1	0	0	0	0	0	-1	-1	
1441	0	B	0	0	0	1	0	0	0	0	0	-1	-1	
1441	0	B	3	0	0	3	0	0	0	0	0	-1	-1	
1441	0	B	6	0	0	2	0	0	0	0	0	-1	-1	
1441	0	B	10	0	0	5	0	0	0	0	0	-1	-1	
1441	0	B	13	0	0	2	0	0	0	0	0	-1	-1	
1441	0	B	14	0	0	1	0	0	0	0	0	-1	-1	
