# film=C:/Users/GUILLA~1/AppData/Local/Temp/claude/C--Users-Guillaume-Downloads-Scripts-LevelUp-go-migration/6ad639a9-c92a-41b8-a18c-f635b71d30d9/scratchpad/gate_p2_work/data/cache/film_chunks/64e8adfa slots_bipede=138
# passe B : records certains=8, signature rep32=410434976 portee par 8
# lectures=146 avec_ref=146 index_hors_roster=0 hors_vie=6 temoin_fantome=0
# vies totales=141 vies nommees directement=134 (95.0 %)
# concordants=126 discordants=5 nouveaux=9
# ref5=0:14 1:17 2:22 3:16 4:22 5:12 6:20 7:23
voie	chunk	pidx	tsUS	frame	slot	gen	ver	rep32	hasRef	ref5	verdict	vie	gtSrc	gtMeth	gtXuid	myXuid
A	4	1508	3957977165	620	522	1	13	410434976	true	0	concordant	522[620..741]	deduit	pont_par_morts	2533274792763167	2533274792763167
A	5	512	3969672657	736	523	1	13	410434976	true	2	concordant	523[737..1035]	deduit	pont_par_morts	2535449464686885	2535449464686885
A	5	1084	3974442830	784	524	1	13	410434976	true	4	concordant	524[791..912]	deduit	pont_par_morts	2535465820713037	2535465820713037
A	5	1768	3980148434	841	525	1	13	410434976	true	0	concordant	525[841..1014]	deduit	pont_par_morts	2533274792763167	2533274792763167
A	5	1956	3981716998	857	526	1	13	410434976	true	3	concordant	526[857..1424]	deduit	pont_par_morts	2535449963449748	2535449963449748
A	5	2132	3983185901	872	527	1	13	410434976	true	7	concordant	527[881..1448]	deduit	pont_par_morts	2535413221816250	2535413221816250
A	6	108	3986305694	903	528	1	13	410434976	true	6	concordant	528[909..2027]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	6	1426	3997300138	1013	529	1	13	410434976	true	4	concordant	529[1013..1192]	deduit	pont_par_morts	2535465820713037	2535465820713037
A	7	246	4007460083	1114	530	1	13	410434976	true	0	concordant	530[1118..1338]	deduit	pont_par_morts	2533274792763167	2533274792763167
A	7	504	4009612537	1136	531	1	13	410434976	true	2	concordant	531[1137..1266]	deduit	pont_par_morts	2535449464686885	2535449464686885
A	7	2376	4025227315	1292	532	1	13	410434976	true	4	concordant	532[1298..2015]	deduit	pont_par_morts	2535465820713037	2535465820713037
A	8	872	4032685181	1367	533	1	13	410434976	true	2	concordant	533[1368..1927]	deduit	pont_par_morts	2535449464686885	2535449464686885
A	8	1738	4039909381	1439	534	1	13	410434976	true	0	concordant	534[1439..2140]	deduit	exclusion_temporelle	2533274792763167	2533274792763167
A	9	364	4048450868	1524	535	1	13	410434976	true	3	concordant	535[1524..1817]	deduit	pont_par_morts	2535449963449748	2535449963449748
A	9	656	4050886857	1549	536	1	13	410434976	true	7	concordant	536[1552..1765]	deduit	pont_par_morts	2535413221816250	2535413221816250
A	9	804	4052122332	1561	537	1	13	410434976	true	5	concordant	537[1565..1616]	deduit	pont_par_morts	2535456378021162	2535456378021162
A	9	1272	4056025329	1600	538	1	13	410434976	true	1	concordant	538[1600..1760]	deduit	pont_par_morts	2533274808613055	2533274808613055
A	10	272	4067687712	1717	539	1	13	410434976	true	5	concordant	539[1720..2423]	deduit	pont_par_morts	2535456378021162	2535456378021162
A	10	2000	4082103891	1861	540	1	13	410434976	true	1	concordant	540[1865..2078]	deduit	pont_par_morts	2533274808613055	2533274808613055
A	10	2062	4082621899	1866	541	1	13	410434976	true	7	concordant	541[1866..1927]	deduit	pont_par_morts	2535413221816250	2535413221816250
A	11	280	4087760375	1917	542	1	13	410434976	true	3	concordant	542[1918..2379]	deduit	pont_par_morts	2535449963449748	2535449963449748
A	11	1586	4098766777	2027	543	1	13	410434976	true	7	concordant	543[2029..2243]	deduit	pont_par_morts	2535413221816250	2535413221816250
A	11	1590	4098799779	2028	544	1	13	410434976	true	2	concordant	544[2028..2291]	deduit	pont_par_morts	2535449464686885	2535449464686885
A	12	256	4107575901	2115	545	1	13	410434976	true	4	concordant	545[2119..2591]	deduit	pont_par_morts	2535465820713037	2535465820713037
A	12	400	4108776837	2127	546	1	13	410434976	true	6	concordant	546[2134..2431]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	12	1008	4113848082	2178	547	1	13	410434976	true	1	concordant	547[2178..2461]	deduit	pont_par_morts	2533274808613055	2533274808613055
A	13	592	4130381905	2344	548	1	13	410434976	true	7	concordant	548[2345..2552]	deduit	pont_par_morts	2535413221816250	2535413221816250
A	13	1170	4135203698	2392	549	1	13	410434976	true	2	concordant	549[2393..3208]	deduit	pont_par_morts	2535449464686885	2535449464686885
A	13	2224	4143995322	2480	550	1	13	410434976	true	3	concordant	550[2480..3122]	deduit	pont_par_morts	2535449963449748	2535449963449748
A	14	346	4148332962	2523	551	1	13	410434976	true	5	concordant	551[2523..2802]	deduit	pont_par_morts	2535456378021162	2535456378021162
A	14	452	4149217750	2532	552	1	13	410434976	true	6	concordant	552[2537..2784]	deduit	pont_par_morts	2533274823110022	2533274823110022
