# film=C:/Users/GUILLA~1/AppData/Local/Temp/claude/C--Users-Guillaume-Downloads-Scripts-LevelUp-go-migration/6ad639a9-c92a-41b8-a18c-f635b71d30d9/scratchpad/gate_p2_work/data/cache/film_chunks/bf15f7ab slots_bipede=83
# passe B : records certains=2, signature rep32=410434976 portee par 2
# lectures=85 avec_ref=85 index_hors_roster=0 hors_vie=5 temoin_fantome=0
# vies totales=91 vies nommees directement=79 (86.8 %)
# concordants=72 discordants=0 nouveaux=8
# ref5=0:10 1:9 2:11 3:6 4:12 5:15 6:5 7:17
voie	chunk	pidx	tsUS	frame	slot	gen	ver	rep32	hasRef	ref5	verdict	vie	gtSrc	gtMeth	gtXuid	myXuid
A	9	376	3096103514	1388	536	1	13	410434976	true	7	concordant	536[1388..1712]	deduit	pont_par_morts	2533274795950878	2533274795950878
A	9	2360	3112654133	1554	537	1	13	410434976	true	2	concordant	537[1554..1703]	deduit	pont_par_morts	2535408981717353	2535408981717353
A	10	620	3118142557	1609	538	1	13	410434976	true	5	concordant	538[1609..1762]	deduit	pont_par_morts	2535450323793545	2535450323793545
A	10	634	3118259734	1610	539	1	13	410434976	true	4	concordant	539[1610..1717]	deduit	pont_par_morts	2535425179403277	2535425179403277
A	11	316	3135610118	1783	540	1	13	410434976	true	2	concordant	540[1783..1887]	deduit	pont_par_morts	2535408981717353	2535408981717353
A	11	430	3136561832	1793	541	1	13	410434976	true	7	concordant	541[1793..2006]	deduit	pont_par_morts	2533274795950878	2533274795950878
A	11	490	3137062034	1798	542	1	13	410434976	true	4	concordant	542[1798..1889]	deduit	pont_par_morts	2535425179403277	2535425179403277
A	11	1030	3141566167	1843	543	1	13	410434976	true	5	concordant	543[1843..2366]	deduit	pont_par_morts	2535450323793545	2535450323793545
A	12	128	3154044768	1968	544	1	13	410434976	true	2	concordant	544[1968..3491]	deduit	pont_par_morts	2535408981717353	2535408981717353
A	12	146	3154195156	1969	545	1	13	410434976	true	4	concordant	545[1969..2058]	deduit	pont_par_morts	2535425179403277	2535425179403277
A	12	150	3154228845	1970	546	1	13	410434976	true	0	concordant	546[1970..2138]	deduit	pont_par_morts	2535469190789936	2535469190789936
A	12	524	3157349424	2001	547	1	13	410434976	true	1	concordant	547[2001..2368]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	12	1556	3165961418	2087	548	1	13	410434976	true	7	concordant	548[2087..2138]	deduit	pont_par_morts	2533274795950878	2533274795950878
A	12	2174	3171116162	2138	549	1	13	410434976	true	4	concordant	549[2139..3142]	deduit	pont_par_morts	2535425179403277	2535425179403277
A	13	732	3179090362	2218	550	1	13	410434976	true	7	concordant	550[2218..2837]	deduit	pont_par_morts	2533274795950878	2533274795950878
A	13	736	3179124105	2219	551	1	13	410434976	true	0	concordant	551[2219..2705]	deduit	pont_par_morts	2535469190789936	2535469190789936
A	14	1070	3201914276	2446	552	1	13	410434976	true	5	concordant	552[2447..2669]	deduit	pont_par_morts	2535450323793545	2535450323793545
A	14	1094	3202115655	2448	553	1	13	410434976	true	1	concordant	553[2449..2731]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	15	2310	3232261402	2750	554	1	13	410434976	true	5	concordant	554[2750..2832]	deduit	pont_par_morts	2535450323793545	2535450323793545
