ti	i	composant	statut	annonces_total	films_presents	annonces_max_film	exces_max	7344d24f	696a9d7c	0a247154	01e1f945	606d9844	8076f97f	64e8adfa	530820e5	53ce4390	24dbb67d	000d5950	
12	28	(hors grammaire)	hors_grammaire	503	11	172	1.2	102	11	172	11	5	23	92	25	44	8	10
12	31	(hors grammaire)	hors_grammaire	497	11	132	1.2	108	14	132	20	4	14	100	47	35	13	10
13	15	managed-object-player-masked-property-component	non_porte	491	11	90	1.2	34	84	35	17	5	86	90	40	55	34	11
13	50	(hors grammaire)	hors_grammaire	484	11	138	1.8	43	23	35	49	11	53	138	14	51	47	20
12	51	(hors grammaire)	hors_grammaire	480	11	112	5.5	76	21	101	18	41	26	112	27	25	29	4
12	30	(hors grammaire)	hors_grammaire	473	11	119	1.4	117	6	92	10	4	35	119	27	47	10	6
13	41	(hors grammaire)	hors_grammaire	473	11	131	1.6	41	15	23	31	15	118	131	23	44	24	8
12	39	(hors grammaire)	hors_grammaire	472	11	152	1.0	84	16	152	12	2	11	110	41	19	22	3
13	30	managed-object-player-masked-property-component	non_porte	464	11	122	1.1	98	42	30	23	9	53	122	26	34	22	5
4	4	(hors grammaire)	hors_grammaire	462	11	84	35.0	70	60	84	65	5	14	51	3	19	61	30
12	41	(hors grammaire)	hors_grammaire	448	11	133	1.2	50	14	133	19	5	21	100	36	38	22	10
13	51	(hors grammaire)	hors_grammaire	447	11	100	1.3	100	29	45	34	10	66	85	10	25	29	14
13	49	(hors grammaire)	hors_grammaire	438	11	99	1.4	42	36	25	21	15	99	89	29	52	21	9
13	34	(hors grammaire)	hors_grammaire	433	11	107	1.3	46	31	25	25	20	55	107	29	52	37	6
12	44	(hors grammaire)	hors_grammaire	432	11	107	1.0	95	12	94	15	1	24	107	24	40	16	4
13	45	(hors grammaire)	hors_grammaire	430	11	109	1.5	43	50	57	35	5	43	109	17	37	25	9
13	22	managed-object-player-masked-property-component	non_porte	427	11	105	0.8	53	45	13	28	10	61	105	27	46	31	8
13	46	(hors grammaire)	hors_grammaire	426	11	107	1.3	51	46	45	20	19	53	107	16	36	21	12
11	6	managed-objective-enabled-component	non_porte	425	8	208	12.0	0	0	23	12	9	9	208	39	65	60	0
12	49	(hors grammaire)	hors_grammaire	422	11	100	2.7	94	14	42	22	20	32	100	20	57	18	3
13	31	managed-object-player-masked-property-component	non_porte	421	11	124	0.9	35	28	22	15	9	67	124	25	49	37	10
