ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
12	52	(hors grammaire)	-	hors_grammaire	86	2.10	45.0	1.9	264	324	292
12	53	(hors grammaire)	-	hors_grammaire	39	0.95	45.0	0.9	279	460	421
12	54	(hors grammaire)	-	hors_grammaire	26	0.63	45.0	0.6	212	237	1849
12	55	(hors grammaire)	-	hors_grammaire	36	0.88	45.0	0.8	402	786	1022
12	56	(hors grammaire)	-	hors_grammaire	31	0.76	45.0	0.7	203	453	377
12	57	(hors grammaire)	-	hors_grammaire	56	1.37	45.0	1.2	174	741	1915
12	58	(hors grammaire)	-	hors_grammaire	101	2.46	45.0	2.2	422	441	531
12	59	(hors grammaire)	-	hors_grammaire	24	0.59	45.0	0.5	494	404	1608
12	60	(hors grammaire)	-	hors_grammaire	147	3.59	45.0	3.3	264	2452	1019
12	61	(hors grammaire)	-	hors_grammaire	22	0.54	45.0	0.5	897	312	227
12	62	(hors grammaire)	-	hors_grammaire	20	0.49	45.0	0.4	133	304	286
12	63	(hors grammaire)	-	hors_grammaire	28	0.68	45.0	0.6	215	272	158
11	0	managed-objective-timers-component	0	non_porte	13	1.92	9.0	1.4	654	1150	141370
11	1	managed-objective-color-component	1	non_porte	51	7.53	9.0	5.7	322	572	115464
11	2	managed-objective-formatted-text-component	1	non_porte	26	3.84	9.0	2.9	330	456	1094
11	3	managed-objective-object-reference-component	1	non_porte	20	2.95	9.0	2.2	149	426	354
11	4	managed-objective-interaction-filter-component	1	non_porte	87	12.85	9.0	9.7	565	683	1707
11	5	managed-objective-type-component	2	non_porte	5	0.74	9.0	0.6	179	417	41773
11	6	managed-objective-enabled-component	1	non_porte	39	5.76	9.0	4.3	460	214	353
11	7	managed-objective-priority-component	1	non_porte	7	1.03	9.0	0.8	126	377	265
11	8	managed-objective-message-type-component	1	non_porte	9	1.33	9.0	1.0	466	890	887
11	9	managed-objective-secondary-formatted-text-component	1	non_porte	108	15.95	9.0	12.0	144	580	720
11	10	managed-objective-is-new-and-unseen-component	1	non_porte	12	1.77	9.0	1.3	227	411	458
11	11	managed-objective-is-only-one-item-unlocked-component	1	non_porte	9	1.33	9.0	1.0	194	278	229
11	12	managed-objective-progress-component	1	non_porte	9	1.33	9.0	1.0	131	381	199
11	13	managed-objective-required-progress-component	1	non_porte	2	0.30	9.0	0.2	1574	349	441
11	14	managed-objective-state-component	1	non_porte	12	1.77	9.0	1.3	113	199	372
