bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	5	player-masked-property (i5)	11	27	1078	149	1547	2	BE4438921D263DC9	4	14	[non chaine]
reelle	5	player-masked-property (i5)	12	7	582	1395	1521	3	C919CB118008431D	4	9	[non chaine]
reelle	5	player-masked-property (i5)	12	12	740	1000	1541	3	C8BE928F21090000	4	8	[non chaine]
reelle	5	player-masked-property (i5)	12	28	2070	647	1536	2	C1AFFF27D0F0226B	4	1	[non chaine]
reelle	5	player-masked-property (i5)	15	15	530	487	1524	2	FF688C5100C83323	4	15	[non chaine]
reelle	5	player-masked-property (i5)	15	15	1302	1144	1530	0	F511AA3001641859	4	5	[non chaine]
reelle	6	player-masked-property (i6)	0	7	1514	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	6	player-masked-property (i6)	0	19	64	5280	1536	0	0C07F3BD75B800A3	0	0	[non chaine]
reelle	6	player-masked-property (i6)	2	5	1292	1487	1536	0	200003A136722083	0	0	[non chaine]
reelle	6	player-masked-property (i6)	3	10	2322	799	1522	3	34E95C9F391041AD	0	0	[non chaine]
reelle	6	player-masked-property (i6)	4	4	1628	2095	1536	0	400003A0201A07C0	0	0	[non chaine]
reelle	6	player-masked-property (i6)	4	10	2320	894	1526	3	4DF04E9459084800	0	0	[non chaine]
reelle	6	player-masked-property (i6)	4	22	306	1232	1538	0	4407049C930D49C9	0	0	[non chaine]
reelle	6	player-masked-property (i6)	6	4	996	2438	1536	0	600003A0201AFBE0	0	0	[non chaine]
reelle	6	player-masked-property (i6)	9	4	1676	1444	1541	2	90711008985F05FD	32	118554761	[non chaine]
reelle	6	player-masked-property (i6)	9	10	2146	149	1536	3	9305BA86C38991FA	32	811313260	[non chaine]
reelle	6	player-masked-property (i6)	9	13	142	808	1542	2	9D748A7DEEDA41A8	32	3611863006	[non chaine]
reelle	6	player-masked-property (i6)	10	18	2020	149	1537	2	A986260008266AC9	1	1	[non chaine]
reelle	6	player-masked-property (i6)	11	10	2004	679	1524	1	BA7C1124F9997144	4	10	[non chaine]
reelle	6	player-masked-property (i6)	11	15	768	866	1523	2	B91012DDF9D73CC7	4	9	[non chaine]
reelle	6	player-masked-property (i6)	11	16	2258	679	1523	3	BA8C1008198D0A44	4	10	[CHAINE]
reelle	6	player-masked-property (i6)	12	10	2190	149	1537	1	CB05B90CC1A99212	4	11	[non chaine]
reelle	6	player-masked-property (i6)	12	10	2386	688	1523	0	CC12622300108666	4	12	[non chaine]
reelle	6	player-masked-property (i6)	12	24	362	149	1536	1	C149000109976A84	4	1	[non chaine]
reelle	6	player-masked-property (i6)	14	11	322	1121	1536	0	E00003A0205AFBE0	4	0	[non chaine]
reelle	8	player-masked-property (i8)	0	6	1978	176	1521	0	0004686012E5DA84	0	0	[non chaine]
reelle	8	player-masked-property (i8)	0	7	1558	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	8	player-masked-property (i8)	0	14	2094	476	1525	0	04598111AC80E508	0	0	[non chaine]
reelle	8	player-masked-property (i8)	1	8	1142	193	1536	0	16444268C0059060	0	0	[non chaine]
reelle	8	player-masked-property (i8)	1	18	2180	149	1547	3	1E413A8201266909	0	0	[non chaine]
reelle	8	player-masked-property (i8)	1	24	1462	580	1536	0	16CB7CEFA2259480	0	0	[non chaine]
reelle	8	player-masked-property (i8)	2	11	1684	2172	1536	1	26FD7020BBF00083	0	0	[non chaine]
