bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	12	player-masked-property (i12)	8	31	936	1332	1622	3	8AD4FE8C00420EF7	32	2907695296	[non chaine]
reelle	12	player-masked-property (i12)	10	11	1096	304	1557	0	A55F0AE488AD2000	1	0	[non chaine]
reelle	12	player-masked-property (i12)	11	28	136	747	1553	1	B836A030C84600F6	4	8	[non chaine]
reelle	12	player-masked-property (i12)	13	26	1322	1866	1558	3	D01091A7F8816FD2	4	0	[non chaine]
reelle	12	player-masked-property (i12)	15	26	2186	1773	1624	1	FC05C201BF3E080E	4	12	[non chaine]
reelle	20	player-masked-property (i20)	1	29	188	1244	1564	3	117F1245C3001083	0	0	[non chaine]
reelle	20	player-masked-property (i20)	1	30	2288	1125	1567	3	1D70726A2E2A2744	0	0	[non chaine]
reelle	20	player-masked-property (i20)	1	37	1520	798	1559	2	16439149A4001559	0	0	[non chaine]
reelle	20	player-masked-property (i20)	4	15	1782	777	1557	1	480021061FAB3B7B	0	0	[non chaine]
reelle	20	player-masked-property (i20)	5	12	1636	1438	1557	0	5E3743C262142D03	0	0	[non chaine]
reelle	20	player-masked-property (i20)	5	38	1408	403	1560	3	52C900045640F6E9	0	0	[non chaine]
reelle	20	player-masked-property (i20)	6	2	2382	1411	1554	0	6002107FDEE41F75	0	0	[non chaine]
reelle	20	player-masked-property (i20)	6	12	146	432	1560	1	6445694004555903	0	0	[non chaine]
reelle	20	player-masked-property (i20)	6	19	370	207	1564	0	6823F0288F51802B	0	0	[non chaine]
reelle	20	player-masked-property (i20)	8	2	1762	1166	1553	0	8002AB207870DAEB	32	2798087	[non chaine]
reelle	20	player-masked-property (i20)	8	34	1310	651	1553	1	8002AB2079A6D5C3	32	2798087	[non chaine]
reelle	20	player-masked-property (i20)	8	34	1822	671	1553	1	8002AB207DA4DF2B	32	2798087	[non chaine]
reelle	20	player-masked-property (i20)	9	12	1608	1426	1557	3	9D79BC4A00201BF3	32	3617309856	[non chaine]
reelle	20	player-masked-property (i20)	10	2	2274	1292	1553	0	A0022AAC81E0738E	1	0	[non chaine]
reelle	20	player-masked-property (i20)	10	3	388	789	1553	0	A0022AAC81E89BB8	1	0	[non chaine]
reelle	20	player-masked-property (i20)	10	35	448	220	1553	1	A0022AAC81F903AC	1	0	[non chaine]
reelle	20	player-masked-property (i20)	11	25	1178	879	1625	0	B690074BF7B0DA9A	4	6	[non chaine]
reelle	20	player-masked-property (i20)	11	25	1210	807	1625	0	BA928C8BF319569A	4	10	[non chaine]
reelle	20	player-masked-property (i20)	12	32	1488	393	1621	0	C382CC9A27C48002	4	3	[non chaine]
reelle	20	player-masked-property (i20)	13	12	1654	1509	1556	2	D45D409A02201BF0	4	4	[non chaine]
reelle	20	player-masked-property (i20)	13	39	1534	37	1555	1	D984D0903DA101CE	4	9	[non chaine]
reelle	20	player-masked-property (i20)	14	25	688	964	1558	0	E912FA5001155640	4	9	[non chaine]
reelle	20	player-masked-property (i20)	15	6	1206	1075	1562	0	F910A2400155903C	4	9	[non chaine]
reelle	29	player-masked-property (i29)	0	22	2358	33	1621	1	022D59B889A8592C	0	0	[non chaine]
reelle	29	player-masked-property (i29)	0	25	694	947	1559	3	000043472AF0093D	0	0	[non chaine]
reelle	29	player-masked-property (i29)	1	19	856	399	1566	3	111FA50011556410	0	0	[non chaine]
reelle	29	player-masked-property (i29)	1	30	78	234	1566	2	1135A5001155640E	0	0	[non chaine]
reelle	29	player-masked-property (i29)	2	26	2194	979	1625	3	23EC3001083BBA6E	0	0	[non chaine]
reelle	29	player-masked-property (i29)	3	14	2264	1068	1559	0	30007787911F7B8E	0	0	[non chaine]
reelle	29	player-masked-property (i29)	4	5	2302	149	1553	3	4D890000C40F6840	0	0	[non chaine]
reelle	29	player-masked-property (i29)	4	16	196	1727	1559	1	42782414007AFFFF	0	0	[non chaine]
reelle	29	player-masked-property (i29)	4	38	1490	1092	1553	2	4877329021090000	0	0	[non chaine]
reelle	29	player-masked-property (i29)	5	19	858	399	1566	3	511FA50011556410	0	0	[non chaine]
reelle	29	player-masked-property (i29)	5	30	2010	149	1561	2	5A068001840F6840	0	0	[non chaine]
reelle	29	player-masked-property (i29)	6	40	170	1861	1560	0	6BB100804149EBC6	0	0	[CHAINE]
reelle	29	player-masked-property (i29)	6	40	172	1170	1560	0	62850080414AABC6	0	0	[non chaine]
reelle	29	player-masked-property (i29)	8	25	706	1023	1559	3	800041C72B6FF943	32	269426	[non chaine]
reelle	29	player-masked-property (i29)	8	33	2034	172	1559	3	88003E0227EFB553	32	2147737634	[non chaine]
reelle	29	player-masked-property (i29)	9	8	488	170	1555	1	9EDDCA6A88612800	32	3990660776	[non chaine]
reelle	29	player-masked-property (i29)	10	28	2006	1022	1559	3	A44DC900055640F0	1	0	[CHAINE]
reelle	29	player-masked-property (i29)	11	39	232	586	1555	2	BAC704E62E7D4AB9	4	10	[non chaine]
reelle	29	player-masked-property (i29)	12	10	1484	667	1563	3	CD4820CD02FA78CF	4	13	[non chaine]
reelle	29	player-masked-property (i29)	12	35	1620	1086	1567	2	C9E865042353CDD1	4	9	[non chaine]
reelle	29	player-masked-property (i29)	12	37	1530	127	1563	2	CD382A53E2842C01	4	13	[non chaine]
reelle	29	player-masked-property (i29)	13	4	1508	1261	1567	3	D34FA30420E199B7	4	3	[non chaine]
reelle	29	player-masked-property (i29)	13	13	2150	127	1564	3	D2D024F1D3A83800	4	2	[non chaine]
reelle	29	player-masked-property (i29)	13	15	958	741	1562	2	D16E0C19ABA104DF	4	1	[non chaine]
reelle	29	player-masked-property (i29)	14	6	1234	642	1564	0	E33FA98884928008	4	3	[non chaine]
reelle	29	player-masked-property (i29)	14	17	2008	1164	1559	3	E4A1BFAAA8911180	4	4	[non chaine]
reelle	29	player-masked-property (i29)	14	36	2358	597	1559	3	E5A5F1A048A41200	4	5	[non chaine]
reelle	29	player-masked-property (i29)	15	8	1364	680	1559	3	FAD10EA300164105	4	10	[non chaine]
reelle	0	property-name	-	2	2354	2229	1557	0	37E00101D201040B	32	937427201
reelle	0	property-name	-	4	534	277	1624	0	0B3A32088212000A	32	188363272
reelle	0	property-name	-	4	1370	652	1563	1	01B618D278699220	32	28711122
