ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
12	54	(hors grammaire)	-	hors_grammaire	18	0.20	25.0	0.7	102	332	1182
12	55	(hors grammaire)	-	hors_grammaire	21	0.24	25.0	0.8	111	866	472
12	56	(hors grammaire)	-	hors_grammaire	18	0.20	25.0	0.7	90	602	349
12	57	(hors grammaire)	-	hors_grammaire	30	0.34	25.0	1.2	89	680	1584
12	58	(hors grammaire)	-	hors_grammaire	20	0.23	25.0	0.8	237	539	463
12	59	(hors grammaire)	-	hors_grammaire	26	0.30	25.0	1.0	180	589	1661
12	60	(hors grammaire)	-	hors_grammaire	27	0.31	25.0	1.1	156	2352	385
12	61	(hors grammaire)	-	hors_grammaire	17	0.19	25.0	0.7	530	354	203
12	62	(hors grammaire)	-	hors_grammaire	21	0.24	25.0	0.8	123	300	232
12	63	(hors grammaire)	-	hors_grammaire	14	0.16	25.0	0.6	183	233	143
11	0	managed-objective-timers-component	0	non_porte	7	9.59	1.0	7.0	454	1435	158100
11	1	managed-objective-color-component	1	non_porte	3	4.11	1.0	3.0	281	569	134758
11	3	managed-objective-object-reference-component	1	non_porte	2	2.74	1.0	2.0	121	405	239
11	4	managed-objective-interaction-filter-component	1	non_porte	2	2.74	1.0	2.0	451	898	1881
11	5	managed-objective-type-component	2	non_porte	3	4.11	1.0	3.0	642	481	46843
11	6	managed-objective-enabled-component	1	non_porte	12	16.44	1.0	12.0	94	276	233
11	7	managed-objective-priority-component	1	non_porte	2	2.74	1.0	2.0	102	443	129
11	9	managed-objective-secondary-formatted-text-component	1	non_porte	2	2.74	1.0	2.0	266	570	1098
11	10	managed-objective-is-new-and-unseen-component	1	non_porte	2	2.74	1.0	2.0	250	442	297
11	11	managed-objective-is-only-one-item-unlocked-component	1	non_porte	2	2.74	1.0	2.0	149	327	244
11	13	managed-objective-required-progress-component	1	non_porte	1	1.37	1.0	1.0	801	374	524
11	15	managed-objective-parent-objective-component	1	non_porte	4	5.48	1.0	4.0	79	247	258
11	16	managed-objective-sub-objective-entities-component	1	non_porte	1	1.37	1.0	1.0	1445	737	954
11	17	managed-objective-sub-objective-entities-component	1	non_porte	2	2.74	1.0	2.0	167	532	439
11	18	managed-objective-sub-objective-entities-component	1	non_porte	1	1.37	1.0	1.0	394	318	340
11	19	managed-objective-sub-objective-entities-component	1	non_porte	2	2.74	1.0	2.0	135	194	3468
11	20	managed-objective-sub-objective-entities-component	1	non_porte	10	13.70	1.0	10.0	212	333	338
11	21	managed-objective-sub-objective-entities-component	1	non_porte	1	1.37	1.0	1.0	175	271	80373
11	22	managed-objective-sub-objective-entities-component	1	non_porte	1	1.37	1.0	1.0	97	118	332
11	23	managed-objective-sub-objective-entities-component	1	non_porte	2	2.74	1.0	2.0	149	140	174
11	25	managed-objective-sub-objective-entities-component	1	non_porte	2	2.74	1.0	2.0	76	270	162100
11	26	managed-objective-sub-objective-entities-component	1	non_porte	1	1.37	1.0	1.0	192	322	436
11	27	managed-objective-sub-objective-entities-component	1	non_porte	8	10.96	1.0	8.0	165	379	286
11	29	managed-objective-sub-objective-entities-component	1	non_porte	2	2.74	1.0	2.0	422	231	148
11	30	managed-objective-sub-objective-entities-component	1	non_porte	1	1.37	1.0	1.0	801	204	2365
11	32	managed-objective-outro-phase-duration-component	1	non_porte	1	1.37	1.0	1.0	494	419	521
11	33	managed-objective-forced-update-component	1	non_porte	2	2.74	1.0	2.0	144	562	991
11	36	(hors grammaire)	-	hors_grammaire	6	8.22	1.0	6.0	258	563	351
11	38	(hors grammaire)	-	hors_grammaire	1	1.37	1.0	1.0	113	481	575
11	40	(hors grammaire)	-	hors_grammaire	7	9.59	1.0	7.0	168	559	397
11	41	(hors grammaire)	-	hors_grammaire	4	5.48	1.0	4.0	271	402	245
11	42	(hors grammaire)	-	hors_grammaire	1	1.37	1.0	1.0	140	365	652
11	44	(hors grammaire)	-	hors_grammaire	1	1.37	1.0	1.0	129	318	255
11	45	(hors grammaire)	-	hors_grammaire	1	1.37	1.0	1.0	1378	204	419
11	46	(hors grammaire)	-	hors_grammaire	4	5.48	1.0	4.0	116	267	251
11	47	(hors grammaire)	-	hors_grammaire	1	1.37	1.0	1.0	614	333	381
11	50	(hors grammaire)	-	hors_grammaire	2	2.74	1.0	2.0	148	244	272
11	52	(hors grammaire)	-	hors_grammaire	5	6.85	1.0	5.0	273	496	242
11	53	(hors grammaire)	-	hors_grammaire	2	2.74	1.0	2.0	228	559	513
11	56	(hors grammaire)	-	hors_grammaire	1	1.37	1.0	1.0	90	602	349
11	58	(hors grammaire)	-	hors_grammaire	1	1.37	1.0	1.0	237	539	463
11	60	(hors grammaire)	-	hors_grammaire	1	1.37	1.0	1.0	156	2352	385
13	0	managed-object-property-name-component	0	porte	153	2.36	38.5	4.0	454	1435	158100
13	1	managed-object-property-component	1	non_porte	3423	52.80	38.5	88.9	281	569	134758
13	2	managed-object-player-masked-property-component	1	non_porte	280	4.32	38.5	7.3	194	443	254
13	3	managed-object-player-masked-property-component	1	non_porte	235	3.62	38.5	6.1	121	405	239
13	4	managed-object-player-masked-property-component	1	non_porte	295	4.55	38.5	7.7	451	898	1881
13	5	managed-object-player-masked-property-component	1	non_porte	264	4.07	38.5	6.9	642	481	46843
13	6	managed-object-player-masked-property-component	1	non_porte	256	3.95	38.5	6.6	94	276	233
13	7	managed-object-player-masked-property-component	1	non_porte	260	4.01	38.5	6.8	102	443	129
13	8	managed-object-player-masked-property-component	1	non_porte	274	4.23	38.5	7.1	459	685	764
13	9	managed-object-player-masked-property-component	1	non_porte	246	3.79	38.5	6.4	266	570	1098
13	10	managed-object-player-masked-property-component	1	non_porte	107	1.65	38.5	2.8	250	442	297
13	11	managed-object-player-masked-property-component	1	non_porte	33	0.51	38.5	0.9	149	327	244
13	12	managed-object-player-masked-property-component	1	non_porte	58	0.89	38.5	1.5	214	417	185
13	13	managed-object-player-masked-property-component	1	non_porte	42	0.65	38.5	1.1	801	374	524
13	14	managed-object-player-masked-property-component	1	non_porte	37	0.57	38.5	1.0	93	273	191
13	15	managed-object-player-masked-property-component	1	non_porte	17	0.26	38.5	0.4	79	247	258
13	16	managed-object-player-masked-property-component	1	non_porte	73	1.13	38.5	1.9	1445	737	954
13	17	managed-object-player-masked-property-component	1	non_porte	35	0.54	38.5	0.9	167	532	439
13	18	managed-object-player-masked-property-component	1	non_porte	104	1.60	38.5	2.7	394	318	340
13	19	managed-object-player-masked-property-component	1	non_porte	41	0.63	38.5	1.1	135	194	3468
13	20	managed-object-player-masked-property-component	1	non_porte	109	1.68	38.5	2.8	212	333	338
13	21	managed-object-player-masked-property-component	1	non_porte	36	0.56	38.5	0.9	175	271	80373
13	22	managed-object-player-masked-property-component	1	non_porte	28	0.43	38.5	0.7	97	118	332
13	23	managed-object-player-masked-property-component	1	non_porte	81	1.25	38.5	2.1	149	140	174
13	24	managed-object-player-masked-property-component	1	non_porte	40	0.62	38.5	1.0	128	356	253
13	25	managed-object-player-masked-property-component	1	non_porte	24	0.37	38.5	0.6	76	270	162100
13	26	managed-object-player-masked-property-component	1	non_porte	143	2.21	38.5	3.7	192	322	436
13	27	managed-object-player-masked-property-component	1	non_porte	351	5.41	38.5	9.1	165	379	286
13	28	managed-object-player-masked-property-component	1	non_porte	25	0.39	38.5	0.6	79	263	1570
13	29	managed-object-player-masked-property-component	1	non_porte	20	0.31	38.5	0.5	422	231	148
13	30	managed-object-player-masked-property-component	1	non_porte	23	0.35	38.5	0.6	801	204	2365
13	31	managed-object-player-masked-property-component	1	non_porte	15	0.23	38.5	0.4	65	249	321
13	32	managed-object-player-masked-property-component	1	non_porte	32	0.49	38.5	0.8	494	419	521
13	33	managed-object-player-masked-property-component	1	non_porte	19	0.29	38.5	0.5	144	562	991
13	34	(hors grammaire)	-	hors_grammaire	25	0.39	38.5	0.6	124	259	364
13	35	(hors grammaire)	-	hors_grammaire	19	0.29	38.5	0.5	68	281	188
13	36	(hors grammaire)	-	hors_grammaire	143	2.21	38.5	3.7	258	563	351
13	37	(hors grammaire)	-	hors_grammaire	21	0.32	38.5	0.5	168	414	268
13	38	(hors grammaire)	-	hors_grammaire	18	0.28	38.5	0.5	113	481	575
13	39	(hors grammaire)	-	hors_grammaire	15	0.23	38.5	0.4	428	466	198
13	40	(hors grammaire)	-	hors_grammaire	35	0.54	38.5	0.9	168	559	397
13	41	(hors grammaire)	-	hors_grammaire	31	0.48	38.5	0.8	271	402	245
13	42	(hors grammaire)	-	hors_grammaire	51	0.79	38.5	1.3	140	365	652
13	43	(hors grammaire)	-	hors_grammaire	19	0.29	38.5	0.5	222	367	244
13	44	(hors grammaire)	-	hors_grammaire	17	0.26	38.5	0.4	129	318	255
13	45	(hors grammaire)	-	hors_grammaire	35	0.54	38.5	0.9	1378	204	419
13	46	(hors grammaire)	-	hors_grammaire	20	0.31	38.5	0.5	116	267	251
13	47	(hors grammaire)	-	hors_grammaire	17	0.26	38.5	0.4	614	333	381
