bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	27	player-masked-property (i27)	9	2	1076	519	1404	1	9103A400155906B7	32	272252929	[non chaine]
reelle	27	player-masked-property (i27)	9	3	1868	1375	1409	0	9BE0826FCF820DBF	32	3188205308	[non chaine]
reelle	27	player-masked-property (i27)	9	9	700	1615	1409	0	9D2081EBE00209BF	32	3523747518	[non chaine]
reelle	27	player-masked-property (i27)	10	8	1952	1390	1409	0	A92081EFCF8209BF	1	1	[non chaine]
reelle	27	player-masked-property (i27)	10	10	1036	353	1405	0	A4888D2000AAC837	1	0	[non chaine]
reelle	27	player-masked-property (i27)	11	18	542	1604	1376	1	BB8AEA84B421E86F	4	11	[non chaine]
reelle	27	player-masked-property (i27)	12	5	1380	1723	1409	0	C9E081EFDF0209BF	4	9	[non chaine]
reelle	27	player-masked-property (i27)	12	5	1382	1724	1409	0	C20081EFDF0209BF	4	2	[non chaine]
reelle	27	player-masked-property (i27)	12	5	1384	1566	1409	0	C22081EFDF0209BF	4	2	[non chaine]
reelle	27	player-masked-property (i27)	13	2	1590	261	1404	1	D10223001641ADC6	4	1	[non chaine]
reelle	27	player-masked-property (i27)	13	5	1378	1748	1409	0	DA0081EFDF0209BF	4	10	[non chaine]
reelle	27	player-masked-property (i27)	14	4	1196	2032	1409	0	EDC081EFDF0209A0	4	13	[non chaine]
reelle	27	player-masked-property (i27)	14	4	1198	2000	1409	0	EDC081EFDF0209A0	4	13	[non chaine]
reelle	27	player-masked-property (i27)	14	4	1200	1961	1409	0	EDC081EFDF0209A0	4	13	[non chaine]
reelle	27	player-masked-property (i27)	15	4	1206	2014	1409	0	F5E081EFDF0209AF	4	5	[non chaine]
reelle	27	player-masked-property (i27)	15	4	1214	2073	1409	0	F60081EFDF0209A0	4	6	[non chaine]
reelle	27	player-masked-property (i27)	15	4	1270	1556	1409	0	F60081EBFF0209A0	4	6	[non chaine]
reelle	32	player-masked-property (i32)	0	1	8	38572	1408	0	000001801D9840A3	0	0	[non chaine]
reelle	32	player-masked-property (i32)	0	13	1432	7394	1376	0	00ED99DB33802232	0	0	[non chaine]
reelle	32	player-masked-property (i32)	1	9	2098	1505	1410	0	17CF4132DAD014AF	0	0	[non chaine]
reelle	32	player-masked-property (i32)	1	9	2100	978	1410	0	17CF4132DAD014AF	0	0	[non chaine]
reelle	32	player-masked-property (i32)	1	9	2102	1437	1410	0	17CF4132DAD014AF	0	0	[non chaine]
reelle	32	player-masked-property (i32)	2	6	124	1427	1406	0	2D056A1A9511A880	0	0	[non chaine]
reelle	32	player-masked-property (i32)	5	18	122	1690	1404	1	527CA20011A3BE90	0	0	[non chaine]
reelle	32	player-masked-property (i32)	6	15	1818	1097	1410	0	6C360A075087100D	0	0	[non chaine]
reelle	32	player-masked-property (i32)	8	24	1578	998	1378	0	88CD7F177ABA529E	32	2362962295	[non chaine]
reelle	32	player-masked-property (i32)	9	12	1200	717	1404	1	92C3213BD678A480	32	741479357	[non chaine]
reelle	33	player-masked-property (i33)	0	18	18	1294	1404	1	09EFA9A97610B40D	0	0	[non chaine]
reelle	33	player-masked-property (i33)	0	18	1822	377	1377	1	0D5D344829800441	0	0	[non chaine]
reelle	33	player-masked-property (i33)	1	6	232	7233	1404	1	110A23015641C376	0	0	[non chaine]
reelle	33	player-masked-property (i33)	1	15	1028	1602	1381	0	10008D8C54E0EBF2	0	0	[non chaine]
reelle	33	player-masked-property (i33)	1	15	1030	1472	1405	0	10008D8BF4E0EBF1	0	0	[non chaine]
reelle	33	player-masked-property (i33)	4	5	2124	428	1376	0	4D7DF230E883D100	0	0	[non chaine]
reelle	33	player-masked-property (i33)	4	16	1930	294	1376	0	46FDEEB5688E9200	0	0	[non chaine]
reelle	33	player-masked-property (i33)	5	5	584	455	1404	1	510823001641AFA2	0	0	[non chaine]
reelle	33	player-masked-property (i33)	6	15	1240	950	1376	0	6689FFB4694050A5	0	0	[non chaine]
reelle	33	player-masked-property (i33)	6	24	426	1063	1376	3	62062C012309F443	0	0	[non chaine]
reelle	33	player-masked-property (i33)	7	19	1110	1109	1410	3	7DCAF6249AECA2E1	24	14462818	[non chaine]
reelle	33	player-masked-property (i33)	9	22	2316	562	1404	1	91B0BF5840D2666D	32	453768580	[non chaine]
reelle	33	player-masked-property (i33)	10	18	500	1051	1404	1	ADE7A7C93ED20008	1	1	[non chaine]
reelle	33	player-masked-property (i33)	11	18	502	1024	1404	1	B5E7A7E93ED18212	4	5	[non chaine]
reelle	33	player-masked-property (i33)	12	5	2126	459	1376	0	CD89F4310883D100	4	13	[non chaine]
reelle	33	player-masked-property (i33)	12	18	506	1082	1404	1	C9E728293ED18008	4	9	[non chaine]
reelle	33	player-masked-property (i33)	13	18	510	1088	1404	1	D5E728693ED18008	4	5	[non chaine]
reelle	33	player-masked-property (i33)	13	18	512	1119	1404	1	DDE6A8893ED18008	4	13	[non chaine]
reelle	33	player-masked-property (i33)	14	18	514	1088	1404	1	E5E6A8A93ED18008	4	5	[non chaine]
reelle	0	property-name	-	3	372	1503	1402	0	000000D200000009	32	210
reelle	0	property-name	-	3	784	2171	1406	2	35FF4101D81F2120	32	905920769
reelle	0	property-name	-	3	1532	348	1405	0	510424001559070B	32	1359225856
