ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
12	39	(hors grammaire)	hors_grammaire	46	64	350.0	500.9	0.131	0.128	1.03x	1.17x
12	40	(hors grammaire)	hors_grammaire	81	98	350.0	500.9	0.231	0.196	1.18x	1.10x
12	41	(hors grammaire)	hors_grammaire	47	53	350.0	500.9	0.134	0.106	1.27x	1.26x
12	42	(hors grammaire)	hors_grammaire	83	80	350.0	500.9	0.237	0.160	1.48x	0.91x
12	43	(hors grammaire)	hors_grammaire	77	53	350.0	500.9	0.220	0.106	2.08x	1.97x
12	44	(hors grammaire)	hors_grammaire	40	67	350.0	500.9	0.114	0.134	0.85x	0.83x
12	45	(hors grammaire)	hors_grammaire	39	50	350.0	500.9	0.111	0.100	1.12x	1.04x
12	46	(hors grammaire)	hors_grammaire	51	53	350.0	500.9	0.146	0.106	1.38x	0.75x
12	47	(hors grammaire)	hors_grammaire	93	104	350.0	500.9	0.266	0.208	1.28x	0.83x
12	48	(hors grammaire)	hors_grammaire	74	106	350.0	500.9	0.211	0.212	1.00x	0.90x
12	49	(hors grammaire)	hors_grammaire	55	45	350.0	500.9	0.157	0.090	1.75x	1.54x
12	50	(hors grammaire)	hors_grammaire	62	71	350.0	500.9	0.177	0.142	1.25x	1.00x
12	51	(hors grammaire)	hors_grammaire	50	62	350.0	500.9	0.143	0.124	1.15x	0.93x
12	52	(hors grammaire)	hors_grammaire	99	171	350.0	500.9	0.283	0.341	0.83x	0.88x
12	53	(hors grammaire)	hors_grammaire	93	85	350.0	500.9	0.266	0.170	1.57x	2.22x
12	54	(hors grammaire)	hors_grammaire	60	73	350.0	500.9	0.171	0.146	1.18x	1.05x
12	55	(hors grammaire)	hors_grammaire	53	63	350.0	500.9	0.151	0.126	1.20x	1.26x
12	56	(hors grammaire)	hors_grammaire	51	105	350.0	500.9	0.146	0.210	0.70x	0.59x
12	57	(hors grammaire)	hors_grammaire	39	52	350.0	500.9	0.111	0.104	1.07x	1.22x
12	58	(hors grammaire)	hors_grammaire	85	104	350.0	500.9	0.243	0.208	1.17x	1.12x
12	59	(hors grammaire)	hors_grammaire	99	117	350.0	500.9	0.283	0.234	1.21x	1.23x
12	60	(hors grammaire)	hors_grammaire	103	106	350.0	500.9	0.294	0.212	1.39x	0.85x
12	61	(hors grammaire)	hors_grammaire	54	93	350.0	500.9	0.154	0.186	0.83x	0.60x
12	62	(hors grammaire)	hors_grammaire	174	159	350.0	500.9	0.497	0.317	1.57x	0.92x
12	63	(hors grammaire)	hors_grammaire	89	79	350.0	500.9	0.254	0.158	1.61x	1.85x
11	0	managed-objective-timers-component	non_porte	120	366	350.0	500.9	0.343	0.731	0.47x	0.39x
11	1	managed-objective-color-component	non_porte	48	165	350.0	500.9	0.137	0.329	0.42x	0.31x
11	2	managed-objective-formatted-text-component	non_porte	59	125	350.0	500.9	0.169	0.250	0.68x	0.51x
11	3	managed-objective-object-reference-component	non_porte	54	85	350.0	500.9	0.154	0.170	0.91x	0.40x
11	4	managed-objective-interaction-filter-component	non_porte	189	133	350.0	500.9	0.540	0.266	2.03x	2.08x
11	5	managed-objective-type-component	non_porte	39	100	350.0	500.9	0.111	0.200	0.56x	0.79x
11	6	managed-objective-enabled-component	non_porte	121	87	350.0	500.9	0.346	0.174	1.99x	2.80x
11	7	managed-objective-priority-component	non_porte	52	58	350.0	500.9	0.149	0.116	1.28x	1.11x
11	8	managed-objective-message-type-component	non_porte	45	101	350.0	500.9	0.129	0.202	0.64x	0.60x
