ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
13	6	managed-object-player-masked-property-component	non_porte	24	52	249.0	359.2	0.096	0.145	0.67x	0.39x
13	7	managed-object-player-masked-property-component	non_porte	54	75	249.0	359.2	0.217	0.209	1.04x	0.56x
13	8	managed-object-player-masked-property-component	non_porte	38	101	249.0	359.2	0.153	0.281	0.54x	0.61x
13	9	managed-object-player-masked-property-component	non_porte	36	37	249.0	359.2	0.145	0.103	1.40x	1.08x
13	10	managed-object-player-masked-property-component	non_porte	28	34	249.0	359.2	0.112	0.095	1.19x	1.18x
13	11	managed-object-player-masked-property-component	non_porte	28	28	249.0	359.2	0.112	0.078	1.44x	0.91x
13	12	managed-object-player-masked-property-component	non_porte	38	54	249.0	359.2	0.153	0.150	1.01x	1.07x
13	13	managed-object-player-masked-property-component	non_porte	1805	1542	249.0	359.2	7.248	4.293	1.69x	1.18x
13	14	managed-object-player-masked-property-component	non_porte	100	115	249.0	359.2	0.402	0.320	1.25x	0.96x
13	15	managed-object-player-masked-property-component	non_porte	19	15	249.0	359.2	0.076	0.042	1.83x	1.17x
13	16	managed-object-player-masked-property-component	non_porte	50	65	249.0	359.2	0.201	0.181	1.11x	1.01x
13	17	managed-object-player-masked-property-component	non_porte	869	1172	249.0	359.2	3.490	3.263	1.07x	0.93x
13	18	managed-object-player-masked-property-component	non_porte	26	23	249.0	359.2	0.104	0.064	1.63x	0.91x
13	19	managed-object-player-masked-property-component	non_porte	36	53	249.0	359.2	0.145	0.148	0.98x	0.85x
13	20	managed-object-player-masked-property-component	non_porte	64	89	249.0	359.2	0.257	0.248	1.04x	0.64x
13	21	managed-object-player-masked-property-component	non_porte	1813	1541	249.0	359.2	7.280	4.291	1.70x	1.18x
13	22	managed-object-player-masked-property-component	non_porte	27	26	249.0	359.2	0.108	0.072	1.50x	1.12x
13	23	managed-object-player-masked-property-component	non_porte	29	39	249.0	359.2	0.116	0.109	1.07x	1.82x
13	24	managed-object-player-masked-property-component	non_porte	38	81	249.0	359.2	0.153	0.226	0.68x	0.56x
13	25	managed-object-player-masked-property-component	non_porte	30	33	249.0	359.2	0.120	0.092	1.31x	1.42x
13	26	managed-object-player-masked-property-component	non_porte	93	39	249.0	359.2	0.373	0.109	3.44x	0.75x
13	27	managed-object-player-masked-property-component	non_porte	121	103	249.0	359.2	0.486	0.287	1.69x	3.10x
13	28	managed-object-player-masked-property-component	non_porte	16	28	249.0	359.2	0.064	0.078	0.82x	1.22x
13	29	managed-object-player-masked-property-component	non_porte	21	33	249.0	359.2	0.084	0.092	0.92x	0.95x
13	30	managed-object-player-masked-property-component	non_porte	25	73	249.0	359.2	0.100	0.203	0.49x	0.55x
13	31	managed-object-player-masked-property-component	non_porte	19	16	249.0	359.2	0.076	0.045	1.71x	0.91x
13	32	managed-object-player-masked-property-component	non_porte	57	63	249.0	359.2	0.229	0.175	1.30x	1.16x
13	33	managed-object-player-masked-property-component	non_porte	19	30	249.0	359.2	0.076	0.084	0.91x	0.91x
13	34	(hors grammaire)	hors_grammaire	23	23	249.0	359.2	0.092	0.064	1.44x	2.39x
13	35	(hors grammaire)	hors_grammaire	21	20	249.0	359.2	0.084	0.056	1.51x	2.26x
13	36	(hors grammaire)	hors_grammaire	52	111	249.0	359.2	0.209	0.309	0.68x	0.64x
13	37	(hors grammaire)	hors_grammaire	18	27	249.0	359.2	0.072	0.075	0.96x	1.01x
13	38	(hors grammaire)	hors_grammaire	13570	9204	249.0	359.2	54.493	25.627	2.13x	1.69x
13	39	(hors grammaire)	hors_grammaire	24	25	249.0	359.2	0.096	0.070	1.38x	2.65x
13	40	(hors grammaire)	hors_grammaire	41	43	249.0	359.2	0.165	0.120	1.38x	1.00x
13	41	(hors grammaire)	hors_grammaire	21	20	249.0	359.2	0.084	0.056	1.51x	0.59x
13	42	(hors grammaire)	hors_grammaire	22	22	249.0	359.2	0.088	0.061	1.44x	1.61x
13	43	(hors grammaire)	hors_grammaire	33	26	249.0	359.2	0.133	0.072	1.83x	3.75x
13	44	(hors grammaire)	hors_grammaire	10	59	249.0	359.2	0.040	0.164	0.24x	0.43x
13	45	(hors grammaire)	hors_grammaire	20	23	249.0	359.2	0.080	0.064	1.25x	0.89x
13	46	(hors grammaire)	hors_grammaire	20	31	249.0	359.2	0.080	0.086	0.93x	0.34x
13	47	(hors grammaire)	hors_grammaire	35	71	249.0	359.2	0.141	0.198	0.71x	0.63x
13	48	(hors grammaire)	hors_grammaire	319	185	249.0	359.2	1.281	0.515	2.49x	2.83x
13	49	(hors grammaire)	hors_grammaire	18	24	249.0	359.2	0.072	0.067	1.08x	1.29x
13	50	(hors grammaire)	hors_grammaire	21	22	249.0	359.2	0.084	0.061	1.38x	1.25x
13	51	(hors grammaire)	hors_grammaire	41	59	249.0	359.2	0.165	0.164	1.00x	1.73x
13	52	(hors grammaire)	hors_grammaire	58	71	249.0	359.2	0.233	0.198	1.18x	1.00x
13	53	(hors grammaire)	hors_grammaire	22	39	249.0	359.2	0.088	0.109	0.81x	0.60x
13	54	(hors grammaire)	hors_grammaire	13	26	249.0	359.2	0.052	0.072	0.72x	1.20x
13	55	(hors grammaire)	hors_grammaire	67	68	249.0	359.2	0.269	0.189	1.42x	1.01x
13	56	(hors grammaire)	hors_grammaire	61	94	249.0	359.2	0.245	0.262	0.94x	1.37x
13	57	(hors grammaire)	hors_grammaire	49	48	249.0	359.2	0.197	0.134	1.47x	0.70x
13	58	(hors grammaire)	hors_grammaire	31	65	249.0	359.2	0.124	0.181	0.69x	1.01x
13	59	(hors grammaire)	hors_grammaire	99	112	249.0	359.2	0.398	0.312	1.27x	1.88x
13	60	(hors grammaire)	hors_grammaire	77	121	249.0	359.2	0.309	0.337	0.92x	0.42x
13	61	(hors grammaire)	hors_grammaire	80	63	249.0	359.2	0.321	0.175	1.83x	3.12x
13	62	(hors grammaire)	hors_grammaire	39	51	249.0	359.2	0.157	0.142	1.10x	0.53x
13	63	(hors grammaire)	hors_grammaire	49	14	249.0	359.2	0.197	0.039	5.05x	5.30x
47	0	managed-object-networked-splash-message-static-component	porte	29	55	249.0	359.2	0.116	0.153	0.76x	0.82x
47	1	managed-object-networked-splash-message-dynamic-component	porte	12	2470	249.0	359.2	0.048	6.877	0.01x	0.00x
47	2	personal-ai-data-component	non_porte	7046	6315	249.0	359.2	28.295	17.583	1.61x	1.42x
47	3	(hors grammaire)	hors_grammaire	7	2	249.0	359.2	0.028	0.006	5.05x	2.73x
47	4	(hors grammaire)	hors_grammaire	21	18	249.0	359.2	0.084	0.050	1.68x	1.89x
47	5	(hors grammaire)	hors_grammaire	1	9	249.0	359.2	0.004	0.025	0.16x	0.61x
47	6	(hors grammaire)	hors_grammaire	31	44	249.0	359.2	0.124	0.123	1.02x	1.37x
47	7	(hors grammaire)	hors_grammaire	6	11	249.0	359.2	0.024	0.031	0.79x	0.00x
47	8	(hors grammaire)	hors_grammaire	52	71	249.0	359.2	0.209	0.198	1.06x	0.88x
47	9	(hors grammaire)	hors_grammaire	19	10	249.0	359.2	0.076	0.028	2.74x	1.43x
47	10	(hors grammaire)	hors_grammaire	29	18	249.0	359.2	0.116	0.050	2.32x	1.48x
47	11	(hors grammaire)	hors_grammaire	3	5	249.0	359.2	0.012	0.014	0.87x	0.78x
47	12	(hors grammaire)	hors_grammaire	6	12	249.0	359.2	0.024	0.033	0.72x	0.32x
47	13	(hors grammaire)	hors_grammaire	5	9	249.0	359.2	0.020	0.025	0.80x	0.42x
47	14	(hors grammaire)	hors_grammaire	4	8	249.0	359.2	0.016	0.022	0.72x	2.73x
47	15	(hors grammaire)	hors_grammaire	3	3	249.0	359.2	0.012	0.008	1.44x	1.09x
47	16	(hors grammaire)	hors_grammaire	7	12	249.0	359.2	0.028	0.033	0.84x	0.64x
47	17	(hors grammaire)	hors_grammaire	3	5	249.0	359.2	0.012	0.014	0.87x	3.28x
47	18	(hors grammaire)	hors_grammaire	3	6	249.0	359.2	0.012	0.017	0.72x	0.68x
47	19	(hors grammaire)	hors_grammaire	1	2	249.0	359.2	0.004	0.006	0.72x	2.73x
47	20	(hors grammaire)	hors_grammaire	9	24	249.0	359.2	0.036	0.067	0.54x	0.75x
47	21	(hors grammaire)	hors_grammaire	3	9	249.0	359.2	0.012	0.025	0.48x	0.50x
47	22	(hors grammaire)	hors_grammaire	5	8	249.0	359.2	0.020	0.022	0.90x	0.99x
47	23	(hors grammaire)	hors_grammaire	2	3	249.0	359.2	0.008	0.008	0.96x	3.65x
47	24	(hors grammaire)	hors_grammaire	7	15	249.0	359.2	0.028	0.042	0.67x	0.55x
47	25	(hors grammaire)	hors_grammaire	3	0	249.0	359.2	0.012	0.000	hors-fenetre-nul	2.73x
47	26	(hors grammaire)	hors_grammaire	3	5	249.0	359.2	0.012	0.014	0.87x	0.78x
47	27	(hors grammaire)	hors_grammaire	13	4	249.0	359.2	0.052	0.011	4.69x	13.12x
47	28	(hors grammaire)	hors_grammaire	6	5	249.0	359.2	0.024	0.014	1.73x	1.22x
47	29	(hors grammaire)	hors_grammaire	2	7	249.0	359.2	0.008	0.019	0.41x	0.68x
47	30	(hors grammaire)	hors_grammaire	9	3	249.0	359.2	0.036	0.008	4.33x	7.66x
47	31	(hors grammaire)	hors_grammaire	4	3	249.0	359.2	0.016	0.008	1.92x	0.00x
47	32	(hors grammaire)	hors_grammaire	3	13	249.0	359.2	0.012	0.036	0.33x	0.36x
47	33	(hors grammaire)	hors_grammaire	6	8	249.0	359.2	0.024	0.022	1.08x	0.91x
47	34	(hors grammaire)	hors_grammaire	5	0	249.0	359.2	0.020	0.000	hors-fenetre-nul	8.20x
47	35	(hors grammaire)	hors_grammaire	8	6	249.0	359.2	0.032	0.017	1.92x	3.04x
47	36	(hors grammaire)	hors_grammaire	16	30	249.0	359.2	0.064	0.084	0.77x	1.33x
47	37	(hors grammaire)	hors_grammaire	3	5	249.0	359.2	0.012	0.014	0.87x	0.78x
47	38	(hors grammaire)	hors_grammaire	14	7	249.0	359.2	0.056	0.019	2.88x	4.10x
47	39	(hors grammaire)	hors_grammaire	4	5	249.0	359.2	0.016	0.014	1.15x	4.37x
47	40	(hors grammaire)	hors_grammaire	6	6	249.0	359.2	0.024	0.017	1.44x	0.50x
47	41	(hors grammaire)	hors_grammaire	5	3	249.0	359.2	0.020	0.008	2.40x	3.28x
47	42	(hors grammaire)	hors_grammaire	1	1	249.0	359.2	0.004	0.003	1.44x	0.00x
47	43	(hors grammaire)	hors_grammaire	5	2	249.0	359.2	0.020	0.006	3.61x	4.10x
47	44	(hors grammaire)	hors_grammaire	5	3	249.0	359.2	0.020	0.008	2.40x	0.00x
