film	xuid	avant_k	avant_d	avant_a	apres_k	apres_d	apres_a	feuille_k	feuille_d	feuille_a	bouge	avant_exact	apres_exact
43716616	2535427924595944	10	8	6	10	8	6	10	8	6	false	true	true
43716616	2535434388039469	3	10	4	3	10	4	3	10	4	false	true	true
43716616	2535453125155425	13	6	5	13	6	5	13	6	5	false	true	true
43716616	2535462017472349	6	4	6	6	4	6	6	4	6	false	true	true
43716616	2535467430415114	7	12	4	7	12	4	7	12	4	false	true	true
43716616	2535469190789936	13	9	3	13	9	3	13	9	3	false	true	true
4577fcc4	2533274793489589	7	13	2	7	13	2	7	13	2	false	true	true
4577fcc4	2533274822500253	16	14	6	16	14	6	16	14	6	false	true	true
4577fcc4	2533274823110022	12	14	3	12	14	3	12	14	3	false	true	true
4577fcc4	2533274858283686	19	16	5	19	16	5	19	16	5	false	true	true
4577fcc4	2535405401647470	9	13	2	9	13	2	9	13	2	false	true	true
4577fcc4	2535417897052709	11	7	7	11	7	7	11	7	7	false	true	true
4577fcc4	2535461534709436	12	11	6	12	11	6	12	11	6	false	true	true
4577fcc4	2535469190789936	8	7	4	8	7	4	8	7	4	false	true	true
46c3f91d	2533274823110022	13	11	0	13	11	0	13	11	0	false	true	true
46c3f91d	2535406995503702	7	8	1	7	8	1	7	8	1	false	true	true
46c3f91d	2535431221291990	12	9	3	12	9	3	12	9	3	false	true	true
46c3f91d	2535432823980048	3	14	1	3	14	1	3	14	1	false	true	true
46c3f91d	2535438446338716	23	2	0	23	2	0	23	2	0	false	true	true
46c3f91d	2535444259940029	8	10	4	8	10	4	8	10	4	false	true	true
46c3f91d	2535462299872300	6	17	1	6	17	1	6	17	1	false	true	true
46c3f91d	2535467573988579	5	12	3	5	12	3	5	12	3	false	true	true
4bd6de5a	2533274800238269	12	10	3	12	10	3	12	10	3	false	true	true
4bd6de5a	2533274812026572	13	9	6	13	9	6	13	9	6	false	true	true
4bd6de5a	2533274823110022	6	8	4	6	8	4	6	8	4	false	true	true
4bd6de5a	2533274858283686	16	15	7	16	15	7	16	15	7	false	true	true
4bd6de5a	2533274887173952	9	17	5	9	17	5	9	17	5	false	true	true
4bd6de5a	2533274974823301	11	9	6	11	9	6	11	9	6	false	true	true
4bd6de5a	2535465213366834	8	16	7	8	16	7	8	16	7	false	true	true
4bd6de5a	2535469190789936	15	8	6	15	8	6	15	8	6	false	true	true
4ecdf3e7	2533274823110022	1	4	1	1	4	1	1	4	1	false	true	true
4ecdf3e7	2533274858283686	7	3	3	7	3	3	7	3	3	false	true	true
4ecdf3e7	2533274913257456	1	3	0	1	3	0	1	3	0	false	true	true
4ecdf3e7	2533274924091420	2	6	3	2	6	3	2	6	3	false	true	true
4ecdf3e7	2535409159085195	6	6	2	6	6	2	6	6	2	false	true	true
4ecdf3e7	2535426953464929	7	2	1	7	2	1	7	2	1	false	true	true
4ecdf3e7	2535434009919524	3	3	1	3	3	1	3	3	1	false	true	true
4ecdf3e7	2535469190789936	5	4	3	5	4	3	5	4	3	false	true	true
4f77afc1	2533274818676576	20	8	5	20	8	5	20	8	5	false	true	true
4f77afc1	2533274823110022	10	15	1	10	15	1	10	15	1	false	true	true
4f77afc1	2533274827096894	5	17	1	5	17	1	5	17	1	false	true	true
4f77afc1	2533274893737372	54	9	4	54	9	4	54	9	4	false	true	true
4f77afc1	2535418140736812	0	18	0	0	18	0	0	18	0	false	true	true
4f77afc1	2535449476496795	9	11	5	9	11	5	9	11	5	false	true	true
4f77afc1	2535457217346540	34	13	8	34	13	8	34	13	8	false	true	true
4f77afc1	2535461788192443	12	10	10	12	10	10	12	10	10	false	true	true
51ebbc0f	2533274920533076	7	11	6	7	11	6	7	11	6	false	true	true
51ebbc0f	2535407463474361	7	9	4	7	9	4	7	9	4	false	true	true
51ebbc0f	2535412744780601	10	10	6	10	10	6	10	10	6	false	true	true
51ebbc0f	2535439712156981	2	10	5	2	10	5	2	10	5	false	true	true
51ebbc0f	2535458847428879	11	6	4	11	6	4	11	6	4	false	true	true
51ebbc0f	2535469190789936	11	12	7	11	12	7	11	12	7	false	true	true
51ebbc0f	2535469656513037	7	9	5	7	9	5	7	9	5	false	true	true
51ebbc0f	2535469889270266	15	4	2	15	4	2	15	4	2	false	true	true
5676a9ba	2533274817737470	12	5	5	12	5	5	12	5	5	false	true	true
5676a9ba	2533274858283686	10	14	10	10	14	10	10	14	10	false	true	true
5676a9ba	2535431120813349	5	3	2	5	3	2	5	3	2	false	true	true
5676a9ba	2535446464444062	7	12	5	7	12	5	7	12	5	false	true	true
5676a9ba	2535457217346540	16	13	10	16	13	10	16	13	10	false	true	true
5676a9ba	2535462209962245	16	12	2	16	12	2	16	12	2	false	true	true
572e236b	2533274823110022	7	12	3	7	12	3	7	12	3	false	true	true
572e236b	2533274833178266	1	10	1	1	10	1	1	10	1	false	true	true
572e236b	2533274858283686	9	11	3	9	11	3	9	11	3	false	true	true
572e236b	2535448131958677	8	1	2	8	1	2	8	1	2	false	true	true
572e236b	2535450759128461	10	4	7	10	4	7	10	4	7	false	true	true
572e236b	2535452521259564	15	10	3	15	10	3	15	10	3	false	true	true
572e236b	2535469190789936	5	11	6	5	11	6	5	11	6	false	true	true
572e236b	2696798348309366	10	6	8	10	6	8	10	6	8	false	true	true
58864b3c	2533274822170595	4	2	1	4	2	1	4	2	1	false	true	true
58864b3c	2533274823110022	5	4	1	5	4	1	5	4	1	false	true	true
58864b3c	2533274833178266	1	3	0	1	3	0	1	3	0	false	true	true
58864b3c	2535450759128461	4	3	0	4	3	0	4	3	0	false	true	true
58864b3c	2535452521259564	5	2	2	5	2	2	5	2	2	false	true	true
58864b3c	2535469190789936	2	5	0	2	5	0	2	5	0	false	true	true
5dfdc63b	2533274815544407	8	12	1	8	12	1	8	12	1	false	true	true
5dfdc63b	2533274815562427	5	8	1	5	8	1	5	8	1	false	true	true
5dfdc63b	2533274936174949	13	13	3	13	13	3	13	13	3	false	true	true
5dfdc63b	2535425963657456	14	5	3	14	5	3	14	5	3	false	true	true
5dfdc63b	2535435318955990	19	7	5	19	7	5	19	7	5	false	true	true
5dfdc63b	2535445906036107	9	15	3	9	15	3	9	15	3	false	true	true
