film	famille	mode	xuid	gamertag	periodes	publie_s	oracle_s	ecart_s	ratio	depasse_oracle
bc60b4d9	CTF	CTF:Arena	2535469190789936		5	23.9	22.6	1.3	1.058	true
bc60b4d9	CTF	CTF:Arena	2654577101798078		9	23.6	18.6	5.0	1.269	true
bf5ced1b	CTF	CTF:Arena	2535412865870758		2	14.7	12.3	2.4	1.195	true
bf5ced1b	CTF	CTF:Arena	2535434888128184		2	17.2	17.0	0.2	1.012	true
bf5ced1b	CTF	CTF:Arena	2535459651975585		7	4.3	3.8	0.5	1.132	true
cde26226	CTF	CTF:Arena	2533274817658307		6	275.3	274.0	1.3	1.005	true
cde26226	CTF	CTF:Arena	2533274818074729		4	73.0	72.4	0.6	1.008	true
cde26226	CTF	CTF:Arena	2533274823110022	JGtm	1	2.9	2.8	0.1	1.036	true
cde26226	CTF	CTF:Arena	2533274849050722		4	12.9	12.5	0.4	1.032	true
cde26226	CTF	CTF:Arena	2533274858283686		6	40.2	33.7	6.5	1.193	true
cde26226	CTF	CTF:Arena	2535415492484355		13	18.1	16.6	1.5	1.090	true
cde26226	CTF	CTF:Arena	2535468122262494		40	46.6	42.3	4.3	1.102	true
cde26226	CTF	CTF:Arena	2535469190789936		10	30.5	26.1	4.4	1.169	true
f8efc5ca	CTF	CTF:Arena	2533274804730586		3	30.4	29.8	0.6	1.020	true
f8efc5ca	CTF	CTF:Arena	2533274811578968		3	64.4	62.2	2.2	1.035	true
f8efc5ca	CTF	CTF:Arena	2533274823110022		5	25.9	25.1	0.8	1.032	true
f8efc5ca	CTF	CTF:Arena	2533274858283686		7	22.8	21.7	1.1	1.051	true
f8efc5ca	CTF	CTF:Arena	2535458336606528		8	21.6	23.3	-1.7	0.927	false
f8efc5ca	CTF	CTF:Arena	2535467632752562		6	29.6	28.9	0.7	1.024	true
f8efc5ca	CTF	CTF:Arena	2535469190789936		2	5.3	5.0	0.3	1.060	true
fb1a1a72	CTF	CTF:Arena	2533274795950878		3	20.5	12.5	8.0	1.640	true
fb1a1a72	CTF	CTF:Arena	2535408981717353		3	19.1	18.8	0.3	1.016	true
fb1a1a72	CTF	CTF:Arena	2535417580715145		8	33.9	32.7	1.2	1.037	true
fb1a1a72	CTF	CTF:Arena	2535425179403277		5	23.9	23.3	0.6	1.026	true
fb1a1a72	CTF	CTF:Arena	2535450323793545		1	18.2	18.1	0.1	1.006	true
fb1a1a72	CTF	CTF:Arena	2535469190789936		11	145.7	140.0	5.7	1.041	true
fb1a1a72	CTF	CTF:Arena	2535473461033821		3	15.4	15.0	0.4	1.027	true
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2533274823110022	JGtm	2	22.6	22.4	0.2	1.009	true
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2533274858283686		10	54.3	52.9	1.4	1.026	true
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2533274877168586		0	0.0	4.1	-4.1	0.000	false
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2535426953464929		11	17.1	15.9	1.2	1.075	true
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2535469190789936		2	3.9	14.3	-10.4	0.273	false
