match_id	start_time_utc	game_variant_name	pair_name	mode_category	map_name	duration_seconds	playable_duration_seconds	team_0_score	team_1_score	player_count
a396aa7f-2747-4540-81da-406296896601	2026-07-29 19:29:36.339 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Streets - Forge	Other	Streets	394	394	20	50	0
a4083bd2-14f1-4f9d-a6a5-8ed80966032d	2026-07-31 19:43:18.538 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on The Pit	Other	The Pit	621	621	50	45	0
a6ae19fb-9db4-48e9-a601-551ed1a05d0c	2026-07-28 20:41:43.67 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Kiken'na	Other	Kiken'na	495	495	50	25	0
ac03413d-2c03-4e3e-9e9c-c10165e40be0	2026-07-28 20:18:23.91 +0000 UTC	Team Slayer:Arena	Arena:Team Slayer on Empyrean	Other	Empyrean	624	624	50	48	0
af3500aa-d13b-4ae6-858e-2416576e5212	2026-07-31 20:19:15.33 +0000 UTC	Team Slayer:Arena	Arena:Team Slayer on Nemesis	Other	Nemesis	604	604	30	50	0
b0fe12b1-bbf2-4c73-ac4c-4b73226cae65	2026-07-31 19:56:51.501 +0000 UTC	Team Slayer:Arena	Arena:Team Slayer on Origin	Other	Origin	496	496	50	34	0
b1ad85eb-8113-4639-a024-952c9d8214ee	2026-09-07 20:24:04.62 +0000 UTC	Slayer:Arena	Community:Slayer on Domicile	Other	Domicile	522	522	50	27	0
b1f01a33-7e25-4dd8-b3ec-39e293d2cee6	2026-07-24 19:10:45.582 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Prism - Forge	Other	Prism	522	522	47	50	0
b8a44fe8-8835-4f7b-b20a-451f3045d17b	2026-07-31 20:53:31.966 +0000 UTC	CTF:Arena	Arena:CTF on Forest	Other	Forest	754	754	0	1	0
bc60b4d9-40dc-4790-a533-3197aea9060a	2026-07-28 20:59:10.742 +0000 UTC	CTF:Arena	Arena:CTF on Illusion	Other	Illusion	414	414	3	0	0
bf2a9f05-2818-4209-abb8-9e57d74ee78e	2026-07-28 18:00:01.808 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Bazaar - Forge	Other	Bazaar	722	722	46	50	0
bf5ced1b-4efc-47d9-b0ec-050116df71f4	2026-07-28 19:59:41.207 +0000 UTC	CTF:Arena	Arena:CTF on Illusion	Other	Illusion	156	156	3	0	0
bfcd1175-936c-4165-abd6-a48b58753887	2026-07-29 20:05:05.352 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Recharge - Forge	Other	Recharge	561	561	50	44	0
bfecd02b-9798-4407-aa55-05244f4c1fa0	2026-09-01 19:43:14.496 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Snowbound	Other	Snowbound	510	510	34	50	0
c7f94693-29c4-4c41-b6b2-532e47f7e920	2026-07-28 09:58:30.211 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Bazaar - Forge	Other	Bazaar	501	501	35	50	0
c88ec007-62da-4eaf-8250-1fa80e8bd8e1	2025-12-18 22:45:07.77 +0000 UTC	Oddball:Arena	Arena:Oddball on Live Fire	Assassin	Live Fire	666	651	192	155	1
cde26226-5707-40e9-96c7-b7baec62679e	2026-08-27 20:09:10.029 +0000 UTC	CTF:Arena	Arena:CTF on Critical Dewpoint	Other	Critical Dewpoint	942	934	2	3	0
d1dfbc02-6f97-4bb2-822a-5dec1dadff2b	2026-07-29 19:15:38.574 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Prism - Forge	Other	Prism	606	606	49	50	0
d8b13ec2-30d9-43ae-bb36-a0d205679f1c	2026-07-28 20:04:15.948 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Goliath	Other	Goliath	742	742	47	50	0
d9781168-5fd6-4b00-a862-56e3a0a1f956	2025-12-27 17:36:05.348 +0000 UTC	Oddball:Arena	Arena:Oddball on Dredge	Assassin	Dredge	716	701	191	196	1
daaa17d6-77a9-4656-a3c2-217be53a1952	2026-07-28 20:48:06.034 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Isolation	Other	Isolation	550	550	50	46	0
e1259a69-967e-46e0-864d-8e32425d70f4	2026-07-28 19:36:58.521 +0000 UTC	Slayer:Arena	Community:Slayer on Takamanohara	Other	Takamanohara	543	543	50	30	0
e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2026-09-07 19:26:23.911 +0000 UTC	Strongholds:Arena	Arena:Strongholds on Banished Narrows	Other	Banished Narrows	415	415	200	82	0
e85d7bad-c668-4d2c-9bd5-a1fa26415ea5	2026-07-31 20:31:56.615 +0000 UTC	Team Slayer:Arena	Arena:Team Slayer on Recharge - Forge	Other	Recharge	511	511	35	50	0
efe716b4-200a-4b10-a67c-227bc880524f	2026-07-28 19:24:10.068 +0000 UTC	Slayer:Arena	Community:Slayer on Fortress	Other	Fortress	688	688	50	41	0
f0220a96-984d-4053-836d-09fd011139a2	2026-09-01 21:13:40.84 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Starboard	Other	Starboard	544	544	38	50	0
f2966f08-f15a-4d9c-aa14-938d733173b7	2026-09-01 19:23:48.797 +0000 UTC	Slayer:Arena	Arena:Slayer on Behemoth - Forge	Other	Behemoth	617	617	49	50	0
f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2026-09-07 20:14:44.156 +0000 UTC	CTF:Arena	Arena:CTF on Absolution	Other	Absolution	416	416	3	0	0
faff9935-f1b5-4644-a799-7a236cf8bc1b	2026-08-27 20:40:31.321 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Shogun	Other	Shogun	542	542	47	50	0
fb1a1a72-4937-4795-9d78-8e18ab47584f	2026-07-23 20:48:06.657 +0000 UTC	CTF:Arena	Arena:CTF on Banished Narrows	Other	Banished Narrows	802	802	0	1	0
fccc61cd-285d-4ccd-be82-908c348cbf69	2026-07-24 19:40:04.11 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Launch Site - Forge	Other	Launch Site	567	567	48	50	0
