film	famille	mode	action	xuid	gamertag	publie	oracle_feuille	ecart	depasse_oracle	max_pas
5676a9ba	TotalControl	BTB:Total Control	kills	bid(41.0)		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	bid(56.0)		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533274808505789		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533274817737470		0	5	-5	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533274823110022	JGtm	0	1	-1	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533274845241701		0	1	-1	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533274858283686		0	10	-10	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533274858343347		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533274893737372		0	1	-1	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533274964038601		0	4	-4	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2533275013465881		0	4	-4	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535405373150550		0	1	-1	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535409375826107		0	4	-4	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535418818079206		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535420302347168		0	6	-6	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535430435508594		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535431120813349		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535442484776177		0	3	-3	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535444408537131		0	6	-6	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535446464444062		0	5	-5	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535449780816216		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535452383863984		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535456111695736		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535457217346540		0	10	-10	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535458469688663		0	5	-5	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535459882866010		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535462209962245		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535468111373012		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	2535469049971772		0	3	-3	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	bid(10.0)		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	bid(40.0)		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	bid(41.0)		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	assists	bid(56.0)		0	0	0	false	0
16ea3668	CTF	CTF:Arena	kills	2533274823110022		12	12	0	false	1
16ea3668	CTF	CTF:Arena	kills	2533274858283686		8	8	0	false	1
16ea3668	CTF	CTF:Arena	kills	2533275034585819		11	11	0	false	1
16ea3668	CTF	CTF:Arena	kills	2535417044536883		13	13	0	false	1
16ea3668	CTF	CTF:Arena	kills	2535447614023932		10	10	0	false	1
16ea3668	CTF	CTF:Arena	kills	2535466949313010		11	11	0	false	1
16ea3668	CTF	CTF:Arena	kills	2535469190789936	Chocoboflor	5	5	0	false	1
16ea3668	CTF	CTF:Arena	kills	2598952284978039		4	4	0	false	1
16ea3668	CTF	CTF:Arena	assists	2533274823110022		3	3	0	false	1
16ea3668	CTF	CTF:Arena	assists	2533274858283686		2	2	0	false	1
16ea3668	CTF	CTF:Arena	assists	2533275034585819		7	7	0	false	1
16ea3668	CTF	CTF:Arena	assists	2535417044536883		1	1	0	false	1
16ea3668	CTF	CTF:Arena	assists	2535447614023932		6	6	0	false	1
16ea3668	CTF	CTF:Arena	assists	2535466949313010		2	2	0	false	1
16ea3668	CTF	CTF:Arena	assists	2535469190789936	Chocoboflor	6	6	0	false	1
16ea3668	CTF	CTF:Arena	assists	2598952284978039		4	4	0	false	1
58864b3c	CTF	CTF:Arena	kills	2533274822170595		4	4	0	false	1
58864b3c	CTF	CTF:Arena	kills	2533274823110022	JGtm	5	5	0	false	1
58864b3c	CTF	CTF:Arena	kills	2533274829350000		3	3	0	false	1
58864b3c	CTF	CTF:Arena	kills	2533274833178266		1	1	0	false	1
58864b3c	CTF	CTF:Arena	kills	2533274858283686		3	3	0	false	1
58864b3c	CTF	CTF:Arena	kills	2535450759128461		4	4	0	false	1
58864b3c	CTF	CTF:Arena	kills	2535452521259564		5	5	0	false	1
58864b3c	CTF	CTF:Arena	kills	2535469190789936		2	2	0	false	1
58864b3c	CTF	CTF:Arena	assists	2533274822170595		1	1	0	false	1
58864b3c	CTF	CTF:Arena	assists	2533274823110022	JGtm	1	1	0	false	1
58864b3c	CTF	CTF:Arena	assists	2533274829350000		2	2	0	false	1
58864b3c	CTF	CTF:Arena	assists	2533274833178266		0	0	0	false	0
58864b3c	CTF	CTF:Arena	assists	2533274858283686		2	2	0	false	1
58864b3c	CTF	CTF:Arena	assists	2535450759128461		0	0	0	false	0
58864b3c	CTF	CTF:Arena	assists	2535452521259564		2	2	0	false	1
58864b3c	CTF	CTF:Arena	assists	2535469190789936		0	0	0	false	0
7fce3219	CTF	CTF:Arena	kills	2533274823110022	JGtm	13	13	0	false	1
7fce3219	CTF	CTF:Arena	kills	2533274858283686		23	23	0	false	1
7fce3219	CTF	CTF:Arena	kills	2533274943116584		27	27	0	false	1
7fce3219	CTF	CTF:Arena	kills	2533274955626571		25	25	0	false	1
7fce3219	CTF	CTF:Arena	kills	2535415254450151		10	10	0	false	1
7fce3219	CTF	CTF:Arena	kills	2535458465148583		25	25	0	false	1
7fce3219	CTF	CTF:Arena	kills	2535469190789936		20	20	0	false	1
7fce3219	CTF	CTF:Arena	kills	2654577101798078		26	26	0	false	1
7fce3219	CTF	CTF:Arena	assists	2533274823110022	JGtm	8	8	0	false	1
7fce3219	CTF	CTF:Arena	assists	2533274858283686		11	11	0	false	1
7fce3219	CTF	CTF:Arena	assists	2533274943116584		9	9	0	false	1
7fce3219	CTF	CTF:Arena	assists	2533274955626571		12	12	0	false	1
7fce3219	CTF	CTF:Arena	assists	2535415254450151		8	8	0	false	1
7fce3219	CTF	CTF:Arena	assists	2535458465148583		5	5	0	false	1
7fce3219	CTF	CTF:Arena	assists	2535469190789936		7	7	0	false	1
7fce3219	CTF	CTF:Arena	assists	2654577101798078		10	10	0	false	1
8bc6074f	CTF	CTF:Arena	kills	2533274823110022		7	7	0	false	1
8bc6074f	CTF	CTF:Arena	kills	2533274829350000		6	6	0	false	1
8bc6074f	CTF	CTF:Arena	kills	2533274833178266	XxDaemonGamerxX	3	3	0	false	1
8bc6074f	CTF	CTF:Arena	kills	2533274858283686		15	15	0	false	1
8bc6074f	CTF	CTF:Arena	kills	2535449383340628		13	13	0	false	1
8bc6074f	CTF	CTF:Arena	kills	2535450759128461		9	9	0	false	1
8bc6074f	CTF	CTF:Arena	kills	2535452521259564		14	14	0	false	2
8bc6074f	CTF	CTF:Arena	kills	2535461109438273		0	0	0	false	0
8bc6074f	CTF	CTF:Arena	kills	2535469190789936		14	14	0	false	1
8bc6074f	CTF	CTF:Arena	kills	bid(20.0)		0	0	0	false	0
8bc6074f	CTF	CTF:Arena	assists	2533274823110022		3	3	0	false	1
8bc6074f	CTF	CTF:Arena	assists	2533274829350000		5	5	0	false	1
8bc6074f	CTF	CTF:Arena	assists	2533274833178266	XxDaemonGamerxX	6	6	0	false	1
8bc6074f	CTF	CTF:Arena	assists	2533274858283686		2	2	0	false	1
8bc6074f	CTF	CTF:Arena	assists	2535449383340628		6	6	0	false	1
8bc6074f	CTF	CTF:Arena	assists	2535450759128461		3	3	0	false	1
8bc6074f	CTF	CTF:Arena	assists	2535452521259564		6	6	0	false	1
8bc6074f	CTF	CTF:Arena	assists	2535461109438273		0	0	0	false	0
8bc6074f	CTF	CTF:Arena	assists	2535469190789936		7	7	0	false	1
8bc6074f	CTF	CTF:Arena	assists	bid(20.0)		0	0	0	false	0
a0c36016	CTF	CTF:Arena	kills	2533274823110022	JGtm	9	9	0	false	1
a0c36016	CTF	CTF:Arena	kills	2533274858283686		22	22	0	false	1
a0c36016	CTF	CTF:Arena	kills	2533274858911298		10	10	0	false	1
