film	famille	mode	xuid	gamertag	periodes	publie_s	oracle_s	ecart_s	ratio	depasse_oracle
bc60b4d9	CTF	CTF:Arena	2535469190789936		4	28.9	22.6	6.3	1.279	true
bc60b4d9	CTF	CTF:Arena	2654577101798078		4	43.0	18.6	24.4	2.312	true
bf5ced1b	CTF	CTF:Arena	2535412865870758		1	16.6	12.3	4.3	1.350	true
bf5ced1b	CTF	CTF:Arena	2535434888128184		2	17.4	17.0	0.4	1.024	true
bf5ced1b	CTF	CTF:Arena	2535459651975585		2	15.6	3.8	11.8	4.105	true
cde26226	CTF	CTF:Arena	2533274817658307		5	283.6	274.0	9.6	1.035	true
cde26226	CTF	CTF:Arena	2533274818074729		1	108.2	72.4	35.8	1.494	true
cde26226	CTF	CTF:Arena	2533274823110022	JGtm	1	2.9	2.8	0.1	1.036	true
cde26226	CTF	CTF:Arena	2533274849050722		4	17.6	12.5	5.1	1.408	true
cde26226	CTF	CTF:Arena	2533274858283686		3	47.5	33.7	13.8	1.409	true
cde26226	CTF	CTF:Arena	2535415492484355		2	63.3	16.6	46.7	3.813	true
cde26226	CTF	CTF:Arena	2535468122262494		6	115.2	42.3	72.9	2.723	true
cde26226	CTF	CTF:Arena	2535469190789936		3	34.6	26.1	8.5	1.326	true
f8efc5ca	CTF	CTF:Arena	2533274804730586		3	30.4	29.8	0.6	1.020	true
f8efc5ca	CTF	CTF:Arena	2533274811578968		3	64.4	62.2	2.2	1.035	true
f8efc5ca	CTF	CTF:Arena	2533274823110022		4	57.6	25.1	32.5	2.295	true
f8efc5ca	CTF	CTF:Arena	2533274858283686		4	41.0	21.7	19.3	1.889	true
f8efc5ca	CTF	CTF:Arena	2535458336606528		3	30.7	23.3	7.4	1.318	true
f8efc5ca	CTF	CTF:Arena	2535467632752562		4	56.2	28.9	27.3	1.945	true
f8efc5ca	CTF	CTF:Arena	2535469190789936		2	8.5	5.0	3.5	1.700	true
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2533274823110022	JGtm	2	22.7	22.4	0.3	1.013	true
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2533274858283686		3	70.2	52.9	17.3	1.327	true
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2533274877168586		0	0.0	4.1	-4.1	0.000	false
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2535426953464929		2	33.3	15.9	17.4	2.094	true
4ecdf3e7	CTF	CTF:Arena Neutral Flag	2535469190789936		2	3.9	14.3	-10.4	0.273	false
