metaext	10ed320d	Strongholds:Arena	174	169	620	1230	19	1211	0	59	26214	618253	1141
forme_gen	1	1230
serieh	6	423117	149	0	0
serieh	6	424118	150	0	0
serieh	6	425119	151	0	0
serieh	6	429223	152	0	0
serieh	6	430228	153	0	0
serieh	6	431229	154	0	0
serieh	6	432231	155	0	0
serieh	6	433233	156	0	0
serieh	6	434234	157	0	0
serieh	6	435234	158	0	0
serieh	6	436235	159	0	0
serieh	6	437236	160	0	0
serieh	6	510652	161	0	0
serieh	6	511652	162	0	0
serieh	6	559752	163	0	0
serieh	6	560753	164	0	0
serieh	6	561755	165	0	0
serieh	6	562756	166	0	0
serieh	6	563757	167	0	0
serieh	6	564758	168	0	0
serieh	6	565759	169	0	0
serieh	6	566761	170	0	0
serieh	6	567760	171	0	0
serieh	6	569664	172	0	0
serieh	6	570666	173	0	0
serieh	6	571666	174	0	0
serieh	6	572667	175	0	0
serieh	6	573668	176	0	0
serieh	6	574670	177	0	0
serieh	6	575671	178	0	0
serieh	6	576671	179	0	0
serieh	6	577674	180	0	0
serieh	6	578675	181	0	0
serieh	6	579680	182	0	0
serieh	6	580679	183	0	0
serieh	6	581680	184	0	0
serieh	6	582682	185	0	0
serieh	6	583682	186	0	0
serieh	6	586869	187	0	0
serieh	6	587869	188	0	0
serieh	6	588871	189	0	0
serieh	6	589871	190	0	0
serieh	6	609244	191	0	0
serieh	6	610246	192	0	0
serieh	6	611246	193	0	0
serieh	6	612247	194	0	0
serieh	6	613248	195	0	0
serieh	6	614249	196	0	0
serieh	6	615251	197	0	0
serieh	6	616252	198	0	0
serieh	6	617253	199	0	0
serieh	6	618253	200	0	0
serieh	8	144082	1	0	0
serieh	8	154293	2751467651	7	6
serieh	8	166540	2	0	0
serieh	8	167540	3	0	0
serieh	8	208878	4	0	0
serieh	8	209879	5	0	0
serieh	8	210880	6	0	0
serieh	8	211881	7	0	0
serieh	8	212882	8	0	0
serieh	8	216859	9	0	0
serieh	8	217860	10	0	0
serieh	8	218861	11	0	0
serieh	8	219862	12	0	0
serieh	8	220863	13	0	0
serieh	8	221864	14	0	0
serieh	8	222865	15	0	0
serieh	8	223865	16	0	0
serieh	8	224867	17	0	0
serieh	8	242340	18	0	0
serieh	8	243340	19	0	0
serieh	8	244342	20	0	0
serieh	8	245343	21	0	0
serieh	8	246344	22	0	0
serieh	8	247345	23	0	0
serieh	8	248346	24	0	0
serieh	8	249349	25	0	0
serieh	8	250351	26	0	0
serieh	8	256005	27	0	0
serieh	8	257007	28	0	0
serieh	8	258008	29	0	0
serieh	8	259009	30	0	0
serieh	8	267014	31	0	0
serieh	8	268014	32	0	0
serieh	8	269016	33	0	0
serieh	8	270016	34	0	0
serieh	8	271018	35	0	0
serieh	8	272019	36	0	0
serieh	8	273021	37	0	0
serieh	8	274021	38	0	0
serieh	8	275023	39	0	0
serieh	8	276024	40	0	0
serieh	8	277026	41	0	0
serieh	8	278025	42	0	0
serieh	8	279030	43	0	0
serieh	8	280030	44	0	0
serieh	8	285575	45	0	0
serieh	8	295037	46	0	0
serieh	8	296038	47	0	0
serieh	8	297040	48	0	0
serieh	8	298042	49	0	0
serieh	8	299044	50	0	0
serieh	8	300045	51	0	0
serieh	8	301047	52	0	0
serieh	8	302047	53	0	0
serieh	8	320308	54	0	0
serieh	8	321305	55	0	0
serieh	8	322306	56	0	0
serieh	8	323307	57	0	0
serieh	8	324308	58	0	0
serieh	8	325309	59	0	0
serieh	8	326310	60	0	0
serieh	8	327311	61	0	0
serieh	8	328312	62	0	0
serieh	8	329314	63	0	0
serieh	8	330315	64	0	0
serieh	8	331315	65	0	0
serieh	8	332317	66	0	0
serieh	8	343827	67	0	0
serieh	8	344829	68	0	0
serieh	8	345831	69	0	0
serieh	8	346831	70	0	0
serieh	8	347832	71	0	0
serieh	8	348833	72	0	0
serieh	8	349834	73	0	0
serieh	8	350835	74	0	0
serieh	8	351836	75	0	0
serieh	8	352838	76	0	0
serieh	8	353838	77	0	0
serieh	8	354839	78	0	0
serieh	8	355840	79	0	0
serieh	8	358610	80	0	0
serieh	8	362113	81	0	0
serieh	8	380266	82	0	0
serieh	8	381267	83	0	0
serieh	8	382267	84	0	0
serieh	8	383269	85	0	0
serieh	8	384269	86	0	0
