metaext	696a9d7c	Strongholds:Arena	200	94	561	1143	35	1108	0	45	33450	559651	1242
forme_gen	1	1143
serieh	6	133966	30	0	0
serieh	6	134967	31	0	0
serieh	6	135968	32	0	0
serieh	6	136969	33	0	0
serieh	6	140891	34	0	0
serieh	6	143327	35	0	0
serieh	6	144329	36	0	0
serieh	6	145331	37	0	0
serieh	6	146331	39	0	0
serieh	6	147331	41	0	0
serieh	6	148332	43	0	0
serieh	6	149332	45	0	0
serieh	6	150334	46	0	0
serieh	6	151335	47	0	0
serieh	6	152335	48	0	0
serieh	6	153336	49	0	0
serieh	6	154337	50	0	0
serieh	6	155343	51	0	0
serieh	6	156340	52	0	0
serieh	6	157341	53	0	0
serieh	6	158342	54	0	0
serieh	6	159343	55	0	0
serieh	6	160343	56	0	0
serieh	6	161344	57	0	0
serieh	6	162346	58	0	0
serieh	6	163346	59	0	0
serieh	6	164347	60	0	0
serieh	6	165348	61	0	0
serieh	6	166349	62	0	0
serieh	6	167350	63	0	0
serieh	6	168351	64	0	0
serieh	6	169352	65	0	0
serieh	6	170353	66	0	0
serieh	6	171355	67	0	0
serieh	6	172357	68	0	0
serieh	6	173357	69	0	0
serieh	6	279516	70	0	0
serieh	6	280517	71	0	0
serieh	6	281519	72	0	0
serieh	6	282520	73	0	0
serieh	6	290127	0	0	0
serieh	6	290145	0	4	0
serieh	6	291328	74	0	0
serieh	6	292329	75	0	0
serieh	6	293331	76	0	0
serieh	6	294331	77	0	0
serieh	6	295332	78	0	0
serieh	6	296333	79	0	0
serieh	6	297333	80	0	0
serieh	6	298335	81	0	0
serieh	6	299335	82	0	0
serieh	6	300337	83	0	0
serieh	6	301338	84	0	0
serieh	6	313802	85	0	0
serieh	6	314802	86	0	0
serieh	6	315803	87	0	0
serieh	6	316804	88	0	0
serieh	6	317806	89	0	0
serieh	6	318807	90	0	0
serieh	6	319807	91	0	0
serieh	6	320808	92	0	0
serieh	6	321809	93	0	0
serieh	6	322815	94	0	0
serieh	6	323812	95	0	0
serieh	6	324813	96	0	0
serieh	6	325814	97	0	0
serieh	6	326815	98	0	0
serieh	6	327815	99	0	0
serieh	6	328817	100	0	0
serieh	6	329817	101	0	0
serieh	6	330818	102	0	0
serieh	6	331819	103	0	0
serieh	6	332820	104	0	0
serieh	6	333821	105	0	0
serieh	6	334822	106	0	0
serieh	6	335824	107	0	0
serieh	6	336824	108	0	0
serieh	6	337825	109	0	0
serieh	6	338826	110	0	0
serieh	6	339827	111	0	0
