metaext	24dbb67d	Ranked:Oddball	200	121	519	7341	49	7292	0	373	34212	518050	1196
forme_gen	1	7341
hdr_slot	2	h2	10	1	18	298909	514014	12
hdr_slot	2	h2	12	0	15	80958	289218	8
hdr_slot	2	h2	12	1	9	460526	511879	2
hdr_slot	2	h2	14	0	13	66311	288183	8
hdr_slot	2	h2	14	1	9	298909	502953	4
hdr_slot	2	h2	16	0	9	66411	288567	4
hdr_slot	2	h2	16	1	6	334099	505506	1
hdr_slot	2	h2	18	0	9	63343	273300	3
hdr_slot	2	h2	18	1	13	320419	513381	6
hdr_slot	2	h2	20	0	8	188466	288183	3
hdr_slot	2	h2	20	1	11	312894	514014	7
hdr_slot	2	h2	22	0	11	54199	278588	5
hdr_slot	2	h2	22	1	10	311794	508225	4
hdr_slot	2	h2	24	0	15	76020	289218	9
hdr_slot	2	h2	24	1	10	298909	513381	4
hdr_slot	2	h2	24	12	1	500331	500331	2028219651
hdr_slot	2	h2	24	16	1	460390	460390	52
hdr_score	h1	exact	200/121	200/121
hdr_frags	h1	ecart	87	88
hdr_score	h2	exact	200/121	200/121
hdr_frags	h2	ecart	87	88
serieh	6	71479	1	0	0
serieh	6	72481	2	0	0
serieh	6	76267	3	0	0
serieh	6	77269	4	0	0
serieh	6	78270	5	0	0
serieh	6	79271	6	0	0
serieh	6	80272	7	0	0
serieh	6	81273	8	0	0
serieh	6	82274	9	0	0
serieh	6	83275	10	0	0
serieh	6	84276	11	0	0
serieh	6	85277	12	0	0
serieh	6	86278	13	0	0
serieh	6	87279	14	0	0
serieh	6	88280	15	0	0
serieh	6	89281	16	0	0
serieh	6	90282	17	0	0
serieh	6	91283	18	0	0
serieh	6	92284	19	0	0
serieh	6	93285	20	0	0
serieh	6	94286	21	0	0
serieh	6	95287	22	0	0
serieh	6	96288	23	0	0
serieh	6	97289	24	0	0
serieh	6	98290	25	0	0
serieh	6	99291	26	0	0
serieh	6	100293	27	0	0
serieh	6	101293	28	0	0
serieh	6	102294	29	0	0
serieh	6	103295	30	0	0
serieh	6	104296	31	0	0
serieh	6	105297	32	0	0
serieh	6	106298	33	0	0
serieh	6	107299	34	0	0
serieh	6	108300	35	0	0
serieh	6	109301	36	0	0
serieh	6	110302	37	0	0
serieh	6	111303	38	0	0
serieh	6	112305	39	0	0
serieh	6	113305	40	0	0
serieh	6	114307	41	0	0
serieh	6	115308	42	0	0
serieh	6	116308	43	0	0
serieh	6	117310	44	0	0
serieh	6	118310	45	0	0
serieh	6	119311	46	0	0
serieh	6	120312	47	0	0
serieh	6	121313	48	0	0
serieh	6	122315	49	0	0
serieh	6	123315	50	0	0
serieh	6	124316	51	0	0
serieh	6	125318	52	0	0
serieh	6	126318	53	0	0
serieh	6	221465	54	0	0
serieh	6	222465	55	0	0
serieh	6	223466	56	0	0
serieh	6	224467	57	0	0
serieh	6	225468	58	0	0
